分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,每年較上一年溫室氣體排放密度(溫室氣體排放量/營收)減少1%。
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,655
S,員工薪資,薪資中位數,,仟元,2020,583
S,員工薪資,平均薪資,,仟元,2019,524
S,員工薪資,薪資中位數,,仟元,2019,440
S,員工薪資,平均薪資,,仟元,2018,696
G,資本額,資本額,,元,2020,811875490
G,資本額,資本額,,元,2019,811875490
G,營運狀況,營業收入,,仟元,2020,1381885
G,營運狀況,營業成本,,仟元,2020,815950
G,營運狀況,營業費用,,仟元,2020,289566
G,營運狀況,淨利,,仟元,2020,203095
G,營運狀況,營業收入,,仟元,2019,1300351
G,營運狀況,營業成本,,仟元,2019,718689
G,營運狀況,營業費用,,仟元,2019,340123
G,營運狀況,淨利,,仟元,2019,174644
G,營運狀況,營業收入,,仟元,2018,2078901
G,營運狀況,營業成本,,仟元,2018,1090575
G,營運狀況,營業費用,,仟元,2018,383432
G,營運狀況,淨利,,仟元,2018,471252
G,營運狀況,營業收入,,仟元,2017,1488259
G,營運狀況,營業成本,,仟元,2017,865292
G,營運狀況,營業費用,,仟元,2017,290450
G,營運狀況,淨利,,仟元,2017,237872
G,營運狀況,營業收入,,仟元,2016,982536
G,營運狀況,營業成本,,仟元,2016,627819
G,營運狀況,營業費用,,仟元,2016,230384
G,營運狀況,淨利,,仟元,2016,85534
