分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,,2020,NA
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,由於排放源主要來自空調與辦公照明需求的電力，配合廠務監控系統控制與節能宣導，減少不必要的浪費，以降低電力使用與二氧化碳排放量。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2020,無揭露
E,廢棄物管理,有害事業廢棄物,true,,2020,無揭露
E,廢棄物管理,資源化再利用,true,,2020,無揭露
E,環境違規,違反環境法規金額-misc,,元,2023,6000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工組成,正式員工,true,人,2020,無揭露
S,員工組成,是否聘用移工,true,人,2020,NA
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,1227
S,員工薪資,薪資中位數,,仟元,2020,1105
S,員工薪資,平均薪資,,仟元,2019,1224
S,員工薪資,薪資中位數,,仟元,2019,1115
S,員工薪資,平均薪資,,仟元,2018,1202
S,職業健康,職災事故,true,,2020,NA
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,6814448700
G,資本額,資本額,,元,2019,6814448700
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,營運狀況,營業收入,,仟元,2020,160171
G,營運狀況,營業成本,,仟元,2020,115036
G,營運狀況,營業費用,,仟元,2020,492509
G,營運狀況,淨利,,仟元,2020,-300090
G,營運狀況,營業收入,,仟元,2019,222952
G,營運狀況,營業成本,,仟元,2019,136063
G,營運狀況,營業費用,,仟元,2019,442465
G,營運狀況,淨利,,仟元,2019,-224691
G,營運狀況,營業收入,,仟元,2018,223085
G,營運狀況,營業成本,,仟元,2018,178744
G,營運狀況,營業費用,,仟元,2018,433605
G,營運狀況,淨利,,仟元,2018,-175218
G,營運狀況,營業收入,,仟元,2017,211988
G,營運狀況,營業成本,,仟元,2017,108589
G,營運狀況,營業費用,,仟元,2017,404721
G,營運狀況,淨利,,仟元,2017,-277552
G,營運狀況,營業收入,,仟元,2016,182873
G,營運狀況,營業成本,,仟元,2016,75236
G,營運狀況,營業費用,,仟元,2016,398382
G,營運狀況,淨利,,仟元,2016,-188882
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,NA
G,ISO認證,ISO 14001,true,,2020,NA
G,ISO認證,ISO 45001,true,,2020,NA
G,ISO認證,ISO 50001,true,,2020,NA
