分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,溫室氣體排放量減量目標，以2020年總碳排放量為基準，2030年溫室氣體排放量較2020年減量25%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.585
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.306
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.676
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.6120000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.451
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.472
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.944
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.198
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.267
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.86
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.053
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.133
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.9079999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.333
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.7069999999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.01
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,0.014
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.11
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.29600000000000004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.007
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2023,0.01
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,530
S,員工薪資,薪資中位數,,仟元,2020,516
S,員工薪資,平均薪資,,仟元,2019,529
S,員工薪資,薪資中位數,,仟元,2019,498
S,員工薪資,平均薪資,,仟元,2018,535
G,資本額,資本額,,元,2020,4422222230
G,資本額,資本額,,元,2019,4422222230
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,9706776
G,營運狀況,營業成本,,仟元,2020,7817062
G,營運狀況,營業費用,,仟元,2020,204431
G,營運狀況,淨利,,仟元,2020,1402677
G,營運狀況,營業收入,,仟元,2019,9457849
G,營運狀況,營業成本,,仟元,2019,7805462
G,營運狀況,營業費用,,仟元,2019,173886
G,營運狀況,淨利,,仟元,2019,1262496
G,營運狀況,營業收入,,仟元,2018,8785525
G,營運狀況,營業成本,,仟元,2018,7111588
G,營運狀況,營業費用,,仟元,2018,161002
G,營運狀況,淨利,,仟元,2018,1420293
G,營運狀況,營業收入,,仟元,2017,7888494
G,營運狀況,營業成本,,仟元,2017,6580089
G,營運狀況,營業費用,,仟元,2017,140457
G,營運狀況,淨利,,仟元,2017,1393086
G,營運狀況,營業收入,,仟元,2016,8491396
G,營運狀況,營業成本,,仟元,2016,7117109
G,營運狀況,營業費用,,仟元,2016,135379
G,營運狀況,淨利,,仟元,2016,1022556
