年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,52741.41,104.4,21764.31,97.45,30977.1,109.9,
2021,55142.26,109.15,23155.48,103.68,31986.78,113.49,
2020,55042.98,108.95,23475.01,105.11,31567.97,112,
2019,50520.08,100,22334.23,100,28185.85,100,
2018,57249.18,113.32,27015.84,120.96,30233.34,107.26,
2017,56424.62,111.69,25813.9,115.58,30610.72,108.6,
2016,53770.66,106.43,25697.9,115.06,28072.76,99.6,
2015,53774.06,106.44,30509.32,136.6,23264.74,82.54,
2014,60950.91,120.65,37360.24,167.28,23590.67,83.7,
2023,53481.85,105.86,21574.34,96.6,31907.52,113.2,T
2024,54222.3,107.33,21384.36,95.75,32837.93,116.51,T
2025,54962.74,108.79,21194.39,94.9,33768.35,119.81,T
2026,55703.18,110.26,21004.41,94.05,34698.77,123.11,T
2027,56443.62,111.73,20814.44,93.2,35629.18,126.41,T
2028,57184.07,113.19,20624.47,92.34,36559.6,129.71,T
2029,57924.51,114.66,20434.49,91.49,37490.02,133.01,T
2030,58664.95,116.12,20244.52,90.64,38420.43,136.31,T
2031,59405.4,117.59,20054.55,89.79,39350.85,139.61,T
2032,60145.84,119.05,19864.57,88.94,40281.27,142.91,T
2033,60886.28,120.52,19674.6,88.09,41211.68,146.21,T
2034,61626.72,121.98,19484.62,87.24,42142.1,149.52,T
2035,62367.17,123.45,19294.65,86.39,43072.52,152.82,T
2036,63107.61,124.92,19104.68,85.54,44002.93,156.12,T
2037,63848.05,126.38,18914.7,84.69,44933.35,159.42,T
2038,64588.5,127.85,18724.73,83.84,45863.77,162.72,T
2039,65328.94,129.31,18534.76,82.99,46794.18,166.02,T
2040,66069.38,130.78,18344.78,82.14,47724.6,169.32,T
2041,66809.83,132.24,18154.81,81.29,48655.02,172.62,T
2042,67550.27,133.71,17964.84,80.44,49585.43,175.92,T
2043,68290.71,135.18,17774.86,79.59,50515.85,179.22,T
2044,69031.15,136.64,17584.89,78.74,51446.27,182.53,T
2045,69771.6,138.11,17394.91,77.88,52376.68,185.83,T
2046,70512.04,139.57,17204.94,77.03,53307.1,189.13,T
2047,71252.48,141.04,17014.97,76.18,54237.52,192.43,T
2048,71992.93,142.5,16824.99,75.33,55167.93,195.73,T
2049,72733.37,143.97,16635.02,74.48,56098.35,199.03,T
2050,73473.81,145.43,16445.05,73.63,57028.77,202.33,T
