分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,828
S,員工薪資,薪資中位數,,仟元,2020,740
S,員工薪資,平均薪資,,仟元,2019,838
S,員工薪資,薪資中位數,,仟元,2019,678
S,員工薪資,平均薪資,,仟元,2018,768
G,資本額,資本額,,元,2020,1715193510
G,資本額,資本額,,元,2019,1715193510
G,營運狀況,營業收入,,仟元,2020,4163616
G,營運狀況,營業成本,,仟元,2020,3675082
G,營運狀況,營業費用,,仟元,2020,633439
G,營運狀況,淨利,,仟元,2020,-121984
G,營運狀況,營業收入,,仟元,2019,4522339
G,營運狀況,營業成本,,仟元,2019,3911297
G,營運狀況,營業費用,,仟元,2019,676589
G,營運狀況,淨利,,仟元,2019,-15624
G,營運狀況,營業收入,,仟元,2018,4867659
G,營運狀況,營業成本,,仟元,2018,4270484
G,營運狀況,營業費用,,仟元,2018,777729
G,營運狀況,淨利,,仟元,2018,-158422
G,營運狀況,營業收入,,仟元,2017,5087513
G,營運狀況,營業成本,,仟元,2017,4448108
G,營運狀況,營業費用,,仟元,2017,728976
G,營運狀況,淨利,,仟元,2017,-36546
G,營運狀況,營業收入,,仟元,2016,5229267
G,營運狀況,營業成本,,仟元,2016,4429361
G,營運狀況,營業費用,,仟元,2016,737829
G,營運狀況,淨利,,仟元,2016,99134
