分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,820
S,員工薪資,薪資中位數,,仟元,2020,724
S,員工薪資,平均薪資,,仟元,2019,741
S,員工薪資,薪資中位數,,仟元,2019,736
S,員工薪資,平均薪資,,仟元,2018,837
G,資本額,資本額,,元,2020,1122254870
G,資本額,資本額,,元,2019,1122254870
G,營運狀況,營業收入,,仟元,2020,2754448
G,營運狀況,營業成本,,仟元,2020,2274067
G,營運狀況,營業費用,,仟元,2020,355192
G,營運狀況,淨利,,仟元,2020,87180
G,營運狀況,營業收入,,仟元,2019,2915755
G,營運狀況,營業成本,,仟元,2019,2510268
G,營運狀況,營業費用,,仟元,2019,479073
G,營運狀況,淨利,,仟元,2019,-73817
G,營運狀況,營業收入,,仟元,2018,3666125
G,營運狀況,營業成本,,仟元,2018,2988037
G,營運狀況,營業費用,,仟元,2018,481510
G,營運狀況,淨利,,仟元,2018,113771
G,營運狀況,營業收入,,仟元,2017,3785435
G,營運狀況,營業成本,,仟元,2017,3089185
G,營運狀況,營業費用,,仟元,2017,498029
G,營運狀況,淨利,,仟元,2017,179095
G,營運狀況,營業收入,,仟元,2016,3635315
G,營運狀況,營業成本,,仟元,2016,3047669
G,營運狀況,營業費用,,仟元,2016,480124
G,營運狀況,淨利,,仟元,2016,29398
