分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,886.0200000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,9796.23
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,10682.25
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,1676.0699999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,16275.43
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,17951.5
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,2470.209999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,19635.98
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,22106.19
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,3277.7999999999993
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,19163.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,22441.5
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,3104.6699999999983
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,18664.83
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,21769.5
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,3551.920000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,18819.78
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,22371.7
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,3067.670000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,18891.64
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,21959.31
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.314
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,4.5120000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.14600000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,7.42
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.22099999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,9.965
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.062
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,7.539
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.23299999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,10.106
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.13
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,5.792
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.429
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,12.253
G,資本額,資本額,,元,2020,5000000
G,資本額,資本額,,元,2019,5000000
