分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,2609
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,2609
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,2839.4
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,2839.4
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,2469.3
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,2469.3
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,2100.7
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,2100.7
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,NA
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,3198
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,3198
E,能源使用狀況,總用電量,true,度（KWh）,2021,5142000
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,能源使用狀況,總用電量,true,度（KWh）,2022,5199787
E,能源使用狀況,再生能源設置量,true,,2022,NA
E,能源使用狀況,再生能源發電量,true,,2022,NA
E,能源使用狀況,總用電量,true,度,2018,5039
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,總用電量,true,度,2019,4501
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,總用電量,true,度,2020,4002
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2022,117119
E,水資源,回收水量,true,,2022,11126
E,水資源,耗用水量,true,,2022,23254
E,水資源,排放水量,true,,2022,93765
E,水資源,總取水量,true,,2021,104604
E,水資源,回收水量,true,,2021,9833
E,水資源,耗用水量,true,,2021,20384
E,水資源,排放水量,true,,2021,84220
E,水資源,總取水量,true,,2018,無揭露
E,水資源,回收水量,true,噸,2018,5075
E,水資源,耗用水量,true,噸,2018,59710
E,水資源,排放水量,true,,2018,無揭露
E,水資源,總取水量,true,,2019,無揭露
E,水資源,回收水量,true,噸,2019,4594
E,水資源,耗用水量,true,噸,2019,50482
E,水資源,排放水量,true,,2019,無揭露
E,水資源,總取水量,true,,2020,無揭露
E,水資源,回收水量,true,噸,2020,6100
E,水資源,耗用水量,true,噸,2020,65039
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,,2021,1609.97
E,廢棄物管理,有害事業廢棄物,true,,2021,37.95
E,廢棄物管理,資源化再利用,true,,2021,NA
E,廢棄物管理,一般事業廢棄物,true,,2022,842.08
E,廢棄物管理,有害事業廢棄物,true,,2022,10.46
E,廢棄物管理,資源化再利用,true,,2022,NA
E,廢棄物管理,一般事業廢棄物,true,噸,2018,260
E,廢棄物管理,有害事業廢棄物,true,無揭露,2018,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,235
E,廢棄物管理,有害事業廢棄物,true,無揭露,2019,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,230
E,廢棄物管理,有害事業廢棄物,true,無揭露,2020,無揭露
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.5430000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,2.6750000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,2.299
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,3.3169999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.764
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,2.545
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,1.879
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,2.7089999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.8499999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,2.667
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.064
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,1.956
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,2.821
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.016
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,2.082
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1.771
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.895
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.3239999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.172
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.018
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,1.133
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.033
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,1.737
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,1.162
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.14300000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,3.3129999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,3.27
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.354
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,3.6790000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,3.694
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.398
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.5630000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.014
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,12000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,120000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
