年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,2937171.66,97.88,318336.2,91.57,2618835.46,98.71,
2019,3000712.14,100,347630.76,100,2653081.38,100,
2018,3133890.31,104.44,365058.64,105.01,2768831.67,104.36,
2017,3110747.4,103.67,406622.82,116.97,2704124.58,101.92,
2016,2894527.07,96.46,440828.85,126.81,2453698.22,92.48,
2015,2845429.22,94.83,444640.2,127.91,2400789.02,90.49,
2014,2876438.23,95.86,491359.77,141.35,2385078.46,89.9,
2013,2881036.4,96.01,533811.95,153.56,2347224.45,88.47,
2021,2879313.08,95.95,288907.33,83.11,2590405.75,97.64,T
2022,2821454.5,94.03,259478.45,74.64,2561976.05,96.57,T
2023,2763595.92,92.1,230049.58,66.18,2533546.34,95.49,T
2024,2705737.34,90.17,200620.71,57.71,2505116.63,94.42,T
2025,2647878.76,88.24,171191.83,49.25,2476686.93,93.35,T
2026,2590020.18,86.31,141762.96,40.78,2448257.22,92.28,T
2027,2532161.6,84.39,112334.09,32.31,2419827.51,91.21,T
2028,2474303.02,82.46,82905.21,23.85,2391397.81,90.14,T
2029,2416444.44,80.53,53476.34,15.38,2362968.1,89.07,T
2030,2358585.86,78.6,24047.47,6.92,2334538.39,87.99,T
2031,2300727.28,76.67,0,0,2306108.69,86.92,T
2032,2242868.7,74.74,0,0,2277678.98,85.85,T
2033,2185010.12,72.82,0,0,2249249.27,84.78,T
2034,2127151.54,70.89,0,0,2220819.57,83.71,T
2035,2069292.96,68.96,0,0,2192389.86,82.64,T
2036,2011434.38,67.03,0,0,2163960.15,81.56,T
2037,1953575.8,65.1,0,0,2135530.45,80.49,T
2038,1895717.22,63.18,0,0,2107100.74,79.42,T
2039,1837858.64,61.25,0,0,2078671.03,78.35,T
2040,1780000.06,59.32,0,0,2050241.33,77.28,T
2041,1722141.48,57.39,0,0,2021811.62,76.21,T
2042,1664282.9,55.46,0,0,1993381.91,75.13,T
2043,1606424.32,53.53,0,0,1964952.21,74.06,T
2044,1548565.74,51.61,0,0,1936522.5,72.99,T
2045,1490707.16,49.68,0,0,1908092.79,71.92,T
2046,1432848.58,47.75,0,0,1879663.09,70.85,T
2047,1374990,45.82,0,0,1851233.38,69.78,T
2048,1317131.42,43.89,0,0,1822803.67,68.71,T
2049,1259272.84,41.97,0,0,1794373.97,67.63,T
2050,1201414.26,40.04,0,0,1765944.26,66.56,T
