分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,度,2020,577671
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,23813.4027091012
E,水資源,總取水量,true,噸,2020,3743
E,水資源,回收水量,true,NA,2020,NA
E,水資源,耗用水量,true,NA,2020,NA
E,水資源,排放水量,true,NA,2020,NA
E,廢棄物管理,一般事業廢棄物,true,噸,2020,0.49
E,廢棄物管理,有害事業廢棄物,true,NA,2020,NA
E,廢棄物管理,資源化再利用,true,NA,2020,NA
S,員工組成,正式員工,true,人,2020,269
S,員工組成,性別比,true,人,2020,1.2049180327868851
S,員工組成,新進率,true,人,2020,0.20689655172413793
S,員工組成,離職率,true,人,2020,0.2482758620689655
S,員工組成,是否聘用移工,true,人,2020,NA
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,1209
S,員工薪資,薪資中位數,,仟元,2020,820
S,員工薪資,平均薪資,,仟元,2019,1078
S,員工薪資,薪資中位數,,仟元,2019,813
S,員工薪資,平均薪資,,仟元,2018,1232
S,職業健康,職災事故,true,,2020,NA
S,職業健康,工安意外,true,,2020,NA
G,資本額,資本額,,元,2020,2104375840
G,資本額,資本額,,元,2019,2104375840
G,是否產製CSR報告,是否編撰報告書,true,,2020,強制編製
G,營運狀況,營業收入,,仟元,2020,2425823
G,營運狀況,營業費用,,仟元,2020,2054726
G,營運狀況,淨利,,仟元,2020,622344
G,營運狀況,營業收入,,仟元,2019,1919015
G,營運狀況,營業費用,,仟元,2019,1741353
G,營運狀況,淨利,,仟元,2019,599676
G,營運狀況,營業收入,,仟元,2018,2814164
G,營運狀況,營業費用,,仟元,2018,2286633
G,營運狀況,淨利,,仟元,2018,838110
G,營運狀況,營業收入,,仟元,2017,2676371
G,營運狀況,營業費用,,仟元,2017,2164286
G,營運狀況,淨利,,仟元,2017,733431
G,營運狀況,營業收入,,仟元,2016,2254796
G,營運狀況,營業費用,,仟元,2016,1830875
G,營運狀況,淨利,,仟元,2016,511759
G,稅務透明度,營利事業所得稅稅額,true,元,2020,NA
G,稅務透明度,政府補助、補貼金額,true,元,2020,NA
G,稅務透明度,研發投入費用,true,元,2020,NA
G,ISO認證,ISO 9001,true,,2020,否
G,ISO認證,ISO 14001,true,,2020,否
G,ISO認證,ISO 45001,true,,2020,否
G,ISO認證,ISO 50001,true,,2020,否
