分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,790
S,員工薪資,薪資中位數,,仟元,2020,703
S,員工薪資,平均薪資,,仟元,2019,747
S,員工薪資,薪資中位數,,仟元,2019,664
S,員工薪資,平均薪資,,仟元,2018,746
G,資本額,資本額,,元,2020,5914730000
G,資本額,資本額,,元,2019,5914730000
G,營運狀況,營業收入,,仟元,2020,7670020
G,營運狀況,營業成本,,仟元,2020,6267997
G,營運狀況,營業費用,,仟元,2020,874713
G,營運狀況,淨利,,仟元,2020,1835995
G,營運狀況,營業收入,,仟元,2019,7116009
G,營運狀況,營業成本,,仟元,2019,5996028
G,營運狀況,營業費用,,仟元,2019,822186
G,營運狀況,淨利,,仟元,2019,772862
G,營運狀況,營業收入,,仟元,2018,7076541
G,營運狀況,營業成本,,仟元,2018,5984675
G,營運狀況,營業費用,,仟元,2018,956108
G,營運狀況,淨利,,仟元,2018,684707
G,營運狀況,營業收入,,仟元,2017,8669277
G,營運狀況,營業成本,,仟元,2017,6546727
G,營運狀況,營業費用,,仟元,2017,2017469
G,營運狀況,淨利,,仟元,2017,331385
G,營運狀況,營業收入,,仟元,2016,10081936
G,營運狀況,營業成本,,仟元,2016,7514247
G,營運狀況,營業費用,,仟元,2016,2281639
G,營運狀況,淨利,,仟元,2016,812191
