分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,本公司為因應國際溫室氣體減量之趨勢，將持續進行各種節電節能措施，預期在員工人數與營業額持續增加情形下，追求整體溫室氣體排放量維持不變，甚而減量，以使溫室氣體排放量與營業額比率逐年下降，達到溫室氣體排放率實質減低之目標。
E,環境違規,違反環境法規金額-misc,,元,2015,120000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
S,員工薪資,平均薪資,,仟元,2020,514
S,員工薪資,薪資中位數,,仟元,2020,454
S,員工薪資,平均薪資,,仟元,2019,530
S,員工薪資,薪資中位數,,仟元,2019,481
S,員工薪資,平均薪資,,仟元,2018,521
G,資本額,資本額,,元,2020,526597360
G,資本額,資本額,,元,2019,526597360
