分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,155.05
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,137.01100000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,16.910000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,8.646
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,442.80400000000014
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,348.296
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,47.62699999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,569.6930000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,210.84300000000007
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,236.7530000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,35.643999999999984
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,562.7999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,262.8459999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,265.492
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,47.033
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,465.29200000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,450.5570000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,432.3580000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,52.60399999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,668.3490000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,307.48999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,277.624
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,66.647
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,649.0280000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,219.82600000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,218.573
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,79.342
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,538.806
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,258.492
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,230.10999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,44.856
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,735.2900000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,219.73599999999993
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,187.33199999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,35.726000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,534.235
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,1.8090000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,243.542
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,216.76300000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,27.351000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,627.148
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.088
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.579
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,117.79199999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,25.732000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,9.303999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,520.7479999999999
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.43199999999999994
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.5760000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,58.773
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,2.8309999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,2.827
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,356.24399999999997
E,空氣污染物申報-有害空氣污染物,乙苯,,,2020,0.343
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.502
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,35.599999999999994
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,3.3499999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.3410000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,279.481
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.44599999999999995
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.005
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.5950000000000001
E,環境違規,違反環境法規金額-misc,,元,2010,6000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
