年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,23867.23,99.56,22897.29,99.07,969.94,112.67,
2020,24525.83,102.3,23708.78,102.58,817.05,94.91,
2019,23973.48,100,23112.63,100,860.85,100,
2018,23296.99,97.18,21797.55,94.31,1499.44,174.18,
2017,25300.36,105.53,24221.79,104.8,1078.57,125.29,
2016,23856.97,99.51,22396.63,96.9,1460.34,169.64,
2015,27570.63,115,25649.45,110.98,1921.18,223.17,
2022,24057.31,100.35,23263.87,100.65,793.44,92.17,T
2023,24247.39,101.14,23630.45,102.24,616.94,71.67,T
2024,24437.47,101.94,23997.03,103.83,440.44,51.16,T
2025,24627.55,102.73,24363.61,105.41,263.94,30.66,T
2026,24817.63,103.52,24730.19,107,87.44,10.16,T
2027,25007.71,104.31,25096.77,108.58,0,0,T
2028,25197.79,105.11,25463.35,110.17,0,0,T
2029,25387.87,105.9,25829.93,111.76,0,0,T
2030,25577.95,106.69,26196.51,113.34,0,0,T
2031,25768.03,107.49,26563.09,114.93,0,0,T
2032,25958.11,108.28,26929.67,116.51,0,0,T
2033,26148.19,109.07,27296.25,118.1,0,0,T
2034,26338.27,109.86,27662.83,119.69,0,0,T
2035,26528.35,110.66,28029.41,121.27,0,0,T
2036,26718.43,111.45,28395.99,122.86,0,0,T
2037,26908.51,112.24,28762.57,124.45,0,0,T
2038,27098.59,113.04,29129.15,126.03,0,0,T
2039,27288.67,113.83,29495.73,127.62,0,0,T
2040,27478.75,114.62,29862.31,129.2,0,0,T
2041,27668.83,115.41,30228.89,130.79,0,0,T
2042,27858.91,116.21,30595.47,132.38,0,0,T
2043,28048.99,117,30962.05,133.96,0,0,T
2044,28239.07,117.79,31328.63,135.55,0,0,T
2045,28429.15,118.59,31695.21,137.13,0,0,T
2046,28619.23,119.38,32061.79,138.72,0,0,T
2047,28809.31,120.17,32428.37,140.31,0,0,T
2048,28999.39,120.96,32794.95,141.89,0,0,T
2049,29189.47,121.76,33161.53,143.48,0,0,T
2050,29379.55,122.55,33528.11,145.06,0,0,T
