分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,107780.11
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,114915.55
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,222695.66
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,83025.33
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,126407.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,209432.75
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,121421.26999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,258893.17
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,380314.44
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,96920.32
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,180245.89
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,277166.21
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,88746.69999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,173094.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,261841.12
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,96003.18999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,182442.92
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,278446.11
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,95664.16000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,174880.74
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,270544.9
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,81157.03000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,152745.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,233902.64
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,349.59
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,20.761000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.9900000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.1459999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,478.957
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,54.529
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.867
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,5.376999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,414.0609999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,81.101
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.817
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,4.6290000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,239.02599999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,65.143
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,3.5019999999999993
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,5.512
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,82.372
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.6300000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,6.558
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,269.21799999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,70.917
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,2.0810000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,11.934
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,239.14
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,58.542
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,4.343
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,8.100999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,254.315
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,57.38799999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.756
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,6.26
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,138.235
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,34.927
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,3.4379999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,23.388
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,186.705
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,32.615
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,3.569
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,9.045
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,210.816
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,32.532
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,3.7369999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,8.618
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,179.62900000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,29.414
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,3.5779999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,8.038
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,193.31300000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,21.32
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.776
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,8.171000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,174.27100000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,18.749
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.1769999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,14.95
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,95.912
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,11.591999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.7270000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,12.35
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,12000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,18000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2019,100000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,6000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
G,資本額,資本額,,元,2020,3120000000
G,資本額,資本額,,元,2019,3120000000
