年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,210204,119.71,160285.06,127.19,49918.94,100.7,
2020,223621.86,127.35,173389.05,137.59,50232.81,101.34,
2019,175591.66,100,126021.33,100,49570.33,100,
2018,208667.19,118.84,155947.77,123.75,52719.42,106.35,
2017,185520.32,105.65,130564.21,103.6,54956.11,110.86,
2016,165961.46,94.52,114900.78,91.18,51060.68,103.01,
2015,110084.22,62.69,59247.95,47.01,50836.27,102.55,
2014,110604.98,62.99,58311.76,46.27,52293.22,105.49,
2013,107068.57,60.98,55539.65,44.07,51528.92,103.95,
2022,210716.27,120,161730.82,128.34,48985.45,98.82,T
2023,211228.54,120.3,163176.59,129.48,48051.95,96.94,T
2024,211740.81,120.59,164622.35,130.63,47118.46,95.05,T
2025,212253.08,120.88,166068.11,131.78,46184.97,93.17,T
2026,212765.35,121.17,167513.88,132.93,45251.47,91.29,T
2027,213277.62,121.46,168959.64,134.07,44317.98,89.4,T
2028,213789.89,121.75,170405.4,135.22,43384.49,87.52,T
2029,214302.16,122.05,171851.17,136.37,42450.99,85.64,T
2030,214814.43,122.34,173296.93,137.51,41517.5,83.75,T
2031,215326.7,122.63,174742.69,138.66,40584.01,81.87,T
2032,215838.97,122.92,176188.46,139.81,39650.51,79.99,T
2033,216351.24,123.21,177634.22,140.96,38717.02,78.11,T
2034,216863.51,123.5,179079.98,142.1,37783.53,76.22,T
2035,217375.78,123.8,180525.75,143.25,36850.03,74.34,T
2036,217888.05,124.09,181971.51,144.4,35916.54,72.46,T
2037,218400.32,124.38,183417.27,145.54,34983.05,70.57,T
2038,218912.59,124.67,184863.04,146.69,34049.55,68.69,T
2039,219424.86,124.96,186308.8,147.84,33116.06,66.81,T
2040,219937.13,125.25,187754.56,148.99,32182.57,64.92,T
2041,220449.4,125.55,189200.33,150.13,31249.07,63.04,T
2042,220961.67,125.84,190646.09,151.28,30315.58,61.16,T
2043,221473.94,126.13,192091.85,152.43,29382.09,59.27,T
2044,221986.21,126.42,193537.62,153.58,28448.59,57.39,T
2045,222498.48,126.71,194983.38,154.72,27515.1,55.51,T
2046,223010.75,127.01,196429.14,155.87,26581.61,53.62,T
2047,223523.02,127.3,197874.91,157.02,25648.11,51.74,T
2048,224035.29,127.59,199320.67,158.16,24714.62,49.86,T
2049,224547.56,127.88,200766.43,159.31,23781.13,47.97,T
2050,225059.83,128.17,202212.2,160.46,22847.63,46.09,T
