年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,125383.56,106.46,96558.12,108.45,28825.44,100.3,
2019,117773.91,100,89034.34,100,28739.57,100,
2018,122491.48,104.01,91245.1,102.48,31246.38,108.72,
2017,138515.64,117.61,104946.56,117.87,33569.08,116.8,
2016,114186.52,96.95,85833.18,96.4,28353.34,98.66,
2015,135843.39,115.34,104520.11,117.39,31323.28,108.99,
2014,114960.07,97.61,87683.84,98.48,27276.23,94.91,
2021,121006.2,102.74,93761.97,105.31,27244.23,94.8,T
2022,116628.84,99.03,90965.83,102.17,25663.01,89.3,T
2023,112251.48,95.31,88169.68,99.03,24081.8,83.79,T
2024,107874.12,91.59,85373.53,95.89,22500.59,78.29,T
2025,103496.76,87.88,82577.39,92.75,20919.37,72.79,T
2026,99119.4,84.16,79781.24,89.61,19338.16,67.29,T
2027,94742.04,80.44,76985.09,86.47,17756.95,61.79,T
2028,90364.68,76.73,74188.95,83.33,16175.73,56.28,T
2029,85987.32,73.01,71392.8,80.19,14594.52,50.78,T
2030,81609.96,69.29,68596.65,77.05,13013.31,45.28,T
2031,77232.6,65.58,65800.51,73.9,11432.09,39.78,T
2032,72855.24,61.86,63004.36,70.76,9850.88,34.28,T
2033,68477.88,58.14,60208.21,67.62,8269.67,28.77,T
2034,64100.52,54.43,57412.07,64.48,6688.45,23.27,T
2035,59723.16,50.71,54615.92,61.34,5107.24,17.77,T
2036,55345.8,46.99,51819.77,58.2,3526.03,12.27,T
2037,50968.44,43.28,49023.63,55.06,1944.81,6.77,T
2038,46591.08,39.56,46227.48,51.92,363.6,1.27,T
2039,42213.72,35.84,43431.33,48.78,0,0,T
2040,37836.36,32.13,40635.19,45.64,0,0,T
2041,33459,28.41,37839.04,42.5,0,0,T
2042,29081.64,24.69,35042.89,39.36,0,0,T
2043,24704.28,20.98,32246.75,36.22,0,0,T
2044,20326.92,17.26,29450.6,33.08,0,0,T
2045,15949.56,13.54,26654.45,29.94,0,0,T
2046,11572.2,9.83,23858.31,26.8,0,0,T
2047,7194.84,6.11,21062.16,23.66,0,0,T
2048,2817.48,2.39,18266.01,20.52,0,0,T
2049,0,0,15469.87,17.38,0,0,T
2050,0,0,12673.72,14.23,0,0,T
