年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,184103.95,101.37,74475.31,82.38,109628.64,120.19,
2021,206977.17,113.96,89989.43,99.54,116987.74,128.26,
2020,170938.32,94.12,73086.87,80.84,97851.45,107.28,
2019,181617.36,100,90407.82,100,91209.54,100,
2018,215890.57,118.87,112804.96,124.77,103085.61,113.02,
2017,222095.07,122.29,113823.08,125.9,108271.99,118.71,
2016,209950.06,115.6,107726.95,119.16,102223.11,112.08,
2015,207112.09,114.04,111567.74,123.4,95544.35,104.75,
2014,216066.44,118.97,125542.48,138.86,90523.96,99.25,
2023,184932.81,101.83,69164.47,76.5,115768.34,126.93,T
2024,185761.68,102.28,63853.63,70.63,121908.04,133.66,T
2025,186590.54,102.74,58542.8,64.75,128047.74,140.39,T
2026,187419.4,103.19,53231.96,58.88,134187.44,147.12,T
2027,188248.26,103.65,47921.12,53.01,140327.14,153.85,T
2028,189077.13,104.11,42610.29,47.13,146466.84,160.58,T
2029,189905.99,104.56,37299.45,41.26,152606.54,167.31,T
2030,190734.85,105.02,31988.61,35.38,158746.24,174.05,T
2031,191563.72,105.48,26677.78,29.51,164885.94,180.78,T
2032,192392.58,105.93,21366.94,23.63,171025.64,187.51,T
2033,193221.44,106.39,16056.1,17.76,177165.34,194.24,T
2034,194050.31,106.85,10745.27,11.89,183305.04,200.97,T
2035,194879.17,107.3,5434.43,6.01,189444.74,207.7,T
2036,195708.03,107.76,123.59,0.14,195584.44,214.43,T
2037,196536.89,108.21,0,0,201724.14,221.17,T
2038,197365.76,108.67,0,0,207863.84,227.9,T
2039,198194.62,109.13,0,0,214003.54,234.63,T
2040,199023.48,109.58,0,0,220143.24,241.36,T
2041,199852.35,110.04,0,0,226282.94,248.09,T
2042,200681.21,110.5,0,0,232422.64,254.82,T
2043,201510.07,110.95,0,0,238562.34,261.55,T
2044,202338.94,111.41,0,0,244702.04,268.29,T
2045,203167.8,111.87,0,0,250841.74,275.02,T
2046,203996.66,112.32,0,0,256981.44,281.75,T
2047,204825.52,112.78,0,0,263121.14,288.48,T
2048,205654.39,113.23,0,0,269260.84,295.21,T
2049,206483.25,113.69,0,0,275400.54,301.94,T
2050,207312.11,114.15,0,0,281540.24,308.67,T
