年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,304606.67,91.01,37151.44,56.51,267455.23,99.45,
2021,319910.86,95.58,38760.43,58.95,281150.43,104.54,
2020,327493.12,97.85,53271,81.02,274222.12,101.96,
2019,334696.3,100,65748.84,100,268947.46,100,
2018,330106.09,98.63,64510.06,98.12,265596.03,98.75,
2017,313177.12,93.57,62318.36,94.78,250858.76,93.27,
2016,269974.33,80.66,63672.64,96.84,206301.69,76.71,
2015,248436.75,74.23,47575.8,72.36,200860.95,74.68,
2014,219083.32,65.46,41374.24,62.93,177709.08,66.08,
2013,197693.53,59.07,34084.45,51.84,163609.08,60.83,
2023,294576.8,88.01,27618.98,42.01,266957.82,99.26,T
2024,284546.92,85.02,18086.51,27.51,266460.41,99.08,T
2025,274517.05,82.02,8554.04,13.01,265963,98.89,T
2026,264487.17,79.02,0,0,265465.59,98.71,T
2027,254457.3,76.03,0,0,264968.19,98.52,T
2028,244427.42,73.03,0,0,264470.78,98.34,T
2029,234397.55,70.03,0,0,263973.37,98.15,T
2030,224367.67,67.04,0,0,263475.96,97.97,T
2031,214337.8,64.04,0,0,262978.55,97.78,T
2032,204307.92,61.04,0,0,262481.14,97.6,T
2033,194278.05,58.05,0,0,261983.73,97.41,T
2034,184248.17,55.05,0,0,261486.32,97.23,T
2035,174218.29,52.05,0,0,260988.91,97.04,T
2036,164188.42,49.06,0,0,260491.5,96.86,T
2037,154158.54,46.06,0,0,259994.09,96.67,T
2038,144128.67,43.06,0,0,259496.68,96.49,T
2039,134098.79,40.07,0,0,258999.27,96.3,T
2040,124068.92,37.07,0,0,258501.86,96.12,T
2041,114039.04,34.07,0,0,258004.45,95.93,T
2042,104009.17,31.08,0,0,257507.05,95.75,T
2043,93979.29,28.08,0,0,257009.64,95.56,T
2044,83949.42,25.08,0,0,256512.23,95.38,T
2045,73919.54,22.09,0,0,256014.82,95.19,T
2046,63889.67,19.09,0,0,255517.41,95.01,T
2047,53859.79,16.09,0,0,255020,94.82,T
2048,43829.92,13.1,0,0,254522.59,94.64,T
2049,33800.04,10.1,0,0,254025.18,94.45,T
2050,23770.16,7.1,0,0,253527.77,94.27,T
