分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,"以2009 年為基準年，透過各種節能措施，如：空調廢熱回收系統、節能熱回收吸附式乾燥機、高效溶液除濕空調系統等，減少設備運轉之耗電量，並減少碳排放量。2021年菱生台中廠T1～T6溫室氣體總排放量65,725.4404公噸CO2e，相較2019年總排放量64,845.21公噸CO2e有稍微上升，主要是因2021年產能增加導致用電量增加，但若依每單位產品耗電量相比則為下降之趨勢，菱生在2021年針對製程生產用電進行檢討改善、空壓機節能改善、公共區域空調溫度管控及其他各項節能措施，增加了用電效率也降低更多溫室氣體排放量。"
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.060000000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,5.862
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,5.896
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.004999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,8.673000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,11.649
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,12.792
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,10.099
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,11.024000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,11.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.052
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,10.617
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.05
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.052
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,12.225000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.052
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,16.611
E,空氣污染物申報-有害空氣污染物,乙苯,,,2021,0.002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.052
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,13.662999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,5.795000000000001
E,環境違規,違反環境法規金額-misc,,元,2011,146000
E,環境違規,違反環境法規次數-misc,,次,2011,7
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,600000
E,環境違規,違反環境法規次數-水,,次,2011,1
E,環境違規,違反環境法規金額-misc,,元,2012,20000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2018,112000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,544
S,員工薪資,薪資中位數,,仟元,2020,483
S,員工薪資,平均薪資,,仟元,2019,515
S,員工薪資,薪資中位數,,仟元,2019,445
S,員工薪資,平均薪資,,仟元,2018,513
G,資本額,資本額,,元,2020,3801023440
G,資本額,資本額,,元,2019,3801023440
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,5457586
G,營運狀況,營業成本,,仟元,2020,5158502
G,營運狀況,營業費用,,仟元,2020,462614
G,營運狀況,淨利,,仟元,2020,-163140
G,營運狀況,營業收入,,仟元,2019,4719390
G,營運狀況,營業成本,,仟元,2019,4783009
G,營運狀況,營業費用,,仟元,2019,515949
G,營運狀況,淨利,,仟元,2019,-552131
G,營運狀況,營業收入,,仟元,2018,5242959
G,營運狀況,營業成本,,仟元,2018,5003563
G,營運狀況,營業費用,,仟元,2018,514837
G,營運狀況,淨利,,仟元,2018,-195314
G,營運狀況,營業收入,,仟元,2017,6063665
G,營運狀況,營業成本,,仟元,2017,5398025
G,營運狀況,營業費用,,仟元,2017,537655
G,營運狀況,淨利,,仟元,2017,140875
G,營運狀況,營業收入,,仟元,2016,5622375
G,營運狀況,營業成本,,仟元,2016,4959884
G,營運狀況,營業費用,,仟元,2016,539640
G,營運狀況,淨利,,仟元,2016,230985
