分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2017,12000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
G,資本額,資本額,,元,2020,135000000
G,資本額,資本額,,元,2019,135000000
G,營運狀況,營業收入,,仟元,2020,354201
G,營運狀況,營業成本,,仟元,2020,238974
G,營運狀況,營業費用,,仟元,2020,73188
G,營運狀況,淨利,,仟元,2020,30834
G,營運狀況,營業收入,,仟元,2019,322651
G,營運狀況,營業成本,,仟元,2019,208227
G,營運狀況,營業費用,,仟元,2019,76130
G,營運狀況,淨利,,仟元,2019,31805
G,營運狀況,營業收入,,仟元,2017,388382
G,營運狀況,營業成本,,仟元,2017,225790
G,營運狀況,營業費用,,仟元,2017,71381
G,營運狀況,淨利,,仟元,2017,62212
G,營運狀況,營業收入,,仟元,2016,385097
G,營運狀況,營業成本,,仟元,2016,222417
G,營運狀況,營業費用,,仟元,2016,68982
G,營運狀況,淨利,,仟元,2016,70606
