分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2013,791594.26
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2013,489776.22
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,807806.6
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,505026.51
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,778413.22
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,483933.67
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,775547.43
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,484045.82
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,6017.361633620206
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,790755.8
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,517297.97
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,5286.78805543802
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,771274.23
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,537742.13
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,4241.013836515398
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,713996.01
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,486380.64
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,4327.925748598074
S,員工薪資,平均薪資,仟元,2020,992
S,員工薪資,薪資中位數,仟元,2020,902
S,員工薪資,平均薪資,仟元,2019,933
S,員工薪資,薪資中位數,仟元,2019,854
S,員工薪資,平均薪資,仟元,2018,1019
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,5815994000
G,,資本額,元,2019,5815994000
G,收入、成本與淨利,營業收入,仟元,2020,27298051
G,收入、成本與淨利,營業成本,仟元,2020,23448762
G,收入、成本與淨利,營業費用,仟元,2020,758427
G,收入、成本與淨利,淨利,仟元,2020,2619426
G,收入、成本與淨利,營業收入,仟元,2019,27735611
G,收入、成本與淨利,營業成本,仟元,2019,24870034
G,收入、成本與淨利,營業費用,仟元,2019,776575
G,收入、成本與淨利,淨利,仟元,2019,1962355
G,收入、成本與淨利,營業收入,仟元,2018,30865647
G,收入、成本與淨利,營業成本,仟元,2018,26694587
G,收入、成本與淨利,營業費用,仟元,2018,835388
G,收入、成本與淨利,淨利,仟元,2018,2942415
G,收入、成本與淨利,營業收入,仟元,2017,24741937
G,收入、成本與淨利,營業成本,仟元,2017,20926613
G,收入、成本與淨利,營業費用,仟元,2017,781843
G,收入、成本與淨利,淨利,仟元,2017,2724957
G,收入、成本與淨利,營業收入,仟元,2016,20932650
G,收入、成本與淨利,營業成本,仟元,2016,17769739
G,收入、成本與淨利,營業費用,仟元,2016,820584
G,收入、成本與淨利,淨利,仟元,2016,1815794
