分類,子分類,項目,單位,年份,數值
G,,資本額,元,2020,326200000
G,,資本額,元,2019,326200000
G,收入、成本與淨利,營業收入,仟元,2020,1472980
G,收入、成本與淨利,營業成本,仟元,2020,1085797
G,收入、成本與淨利,營業費用,仟元,2020,174504
G,收入、成本與淨利,淨利,仟元,2020,165661
G,收入、成本與淨利,營業收入,仟元,2019,1765265
G,收入、成本與淨利,營業成本,仟元,2019,1458399
G,收入、成本與淨利,營業費用,仟元,2019,157224
G,收入、成本與淨利,淨利,仟元,2019,111821
G,收入、成本與淨利,營業收入,仟元,2018,1239709
G,收入、成本與淨利,營業成本,仟元,2018,1008065
G,收入、成本與淨利,營業費用,仟元,2018,123890
G,收入、成本與淨利,淨利,仟元,2018,86729
G,收入、成本與淨利,營業收入,仟元,2017,498620
G,收入、成本與淨利,營業成本,仟元,2017,416084
G,收入、成本與淨利,營業費用,仟元,2017,72549
G,收入、成本與淨利,淨利,仟元,2017,3039
