分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,568
S,員工薪資,薪資中位數,仟元,2020,508
S,員工薪資,平均薪資,仟元,2019,556
S,員工薪資,薪資中位數,仟元,2019,491
S,員工薪資,平均薪資,仟元,2018,561
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1386000000
G,,資本額,元,2019,1386000000
G,收入、成本與淨利,營業收入,仟元,2020,2233540
G,收入、成本與淨利,營業成本,仟元,2020,1851340
G,收入、成本與淨利,營業費用,仟元,2020,344167
G,收入、成本與淨利,淨利,仟元,2020,5430211
G,收入、成本與淨利,營業收入,仟元,2019,2440599
G,收入、成本與淨利,營業成本,仟元,2019,2034682
G,收入、成本與淨利,營業費用,仟元,2019,364219
G,收入、成本與淨利,淨利,仟元,2019,698140
G,收入、成本與淨利,營業收入,仟元,2018,2543342
G,收入、成本與淨利,營業成本,仟元,2018,2161263
G,收入、成本與淨利,營業費用,仟元,2018,390973
G,收入、成本與淨利,淨利,仟元,2018,229871
G,收入、成本與淨利,營業收入,仟元,2017,2654707
G,收入、成本與淨利,營業成本,仟元,2017,2211050
G,收入、成本與淨利,營業費用,仟元,2017,401973
G,收入、成本與淨利,淨利,仟元,2017,168251
G,收入、成本與淨利,營業收入,仟元,2016,2887924
G,收入、成本與淨利,營業成本,仟元,2016,2316912
G,收入、成本與淨利,營業費用,仟元,2016,456867
G,收入、成本與淨利,淨利,仟元,2016,303181
