分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,無資料
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,9.775
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,14.017000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,5.646999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,12.025
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,17.966
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,4.186
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.076
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,17.221999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.553
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,10.78
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,15.312000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,6.038
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,10.483
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,15.151999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,5.649
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,11.152000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,15.908
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,6.138
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,12.565999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,17.458
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,7.393000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,12.317
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,16.715
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,10.843
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,9.917
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,13.325000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,8.687999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,6.07
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,6.874
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,5.8100000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,3.403
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2.404
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.313
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,2.884
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,2.0949999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.542
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.99
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.307
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.336
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,2.103
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,1.328
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.23200000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.658
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.688
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.091
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,100000
E,環境違規,違反環境法規次數-空氣,,次,2012,1
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2015,106000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
S,員工薪資,平均薪資,,仟元,2020,514
S,員工薪資,薪資中位數,,仟元,2020,485
S,員工薪資,平均薪資,,仟元,2019,552
S,員工薪資,薪資中位數,,仟元,2019,529
S,員工薪資,平均薪資,,仟元,2018,496
G,資本額,資本額,,元,2020,393318520
G,資本額,資本額,,元,2019,393318520
