年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,28121.19,77.2,5725.25,44.38,22395.94,95.19,
2021,44281.86,121.56,7721.77,59.85,36560.09,155.4,
2020,37657.44,103.37,8163.69,63.28,29493.75,125.36,
2019,36428.12,100,12900.97,100,23527.15,100,
2018,35205.84,96.64,12393.59,96.07,22812.25,96.96,
2023,25352.21,69.6,3333.34,25.84,22018.87,93.59,T
2024,22583.23,61.99,941.43,7.3,21641.8,91.99,T
2025,19814.26,54.39,0,0,21264.73,90.38,T
2026,17045.28,46.79,0,0,20887.66,88.78,T
2027,14276.3,39.19,0,0,20510.59,87.18,T
2028,11507.33,31.59,0,0,20133.52,85.58,T
2029,8738.35,23.99,0,0,19756.45,83.97,T
2030,5969.37,16.39,0,0,19379.38,82.37,T
2031,3200.4,8.79,0,0,19002.31,80.77,T
2032,431.42,1.18,0,0,18625.24,79.16,T
2033,0,0,0,0,18248.18,77.56,T
2034,0,0,0,0,17871.11,75.96,T
2035,0,0,0,0,17494.04,74.36,T
2036,0,0,0,0,17116.97,72.75,T
2037,0,0,0,0,16739.9,71.15,T
2038,0,0,0,0,16362.83,69.55,T
2039,0,0,0,0,15985.76,67.95,T
2040,0,0,0,0,15608.69,66.34,T
2041,0,0,0,0,15231.62,64.74,T
2042,0,0,0,0,14854.55,63.14,T
2043,0,0,0,0,14477.48,61.54,T
2044,0,0,0,0,14100.41,59.93,T
2045,0,0,0,0,13723.34,58.33,T
2046,0,0,0,0,13346.27,56.73,T
2047,0,0,0,0,12969.2,55.12,T
2048,0,0,0,0,12592.13,53.52,T
2049,0,0,0,0,12215.06,51.92,T
2050,0,0,0,0,11837.99,50.32,T
