年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,86238.53,86.13,76284.26,84.64,9954.27,99.63,
2021,81440.15,81.34,71774.81,79.64,9665.34,96.74,
2020,98761.91,98.64,88985.97,98.73,9775.94,97.84,
2019,100120.27,100,90128.85,100,9991.42,100,
2018,118992.59,118.85,108593.33,120.49,10399.26,104.08,
2017,109320.2,109.19,98409.8,109.19,10910.4,109.2,
2016,127794.93,127.64,115984.07,128.69,11810.86,118.21,
2015,130986.87,130.83,118425.16,131.4,12561.71,125.72,
2014,127783.74,127.63,115165.71,127.78,12618.03,126.29,
2023,81611.28,81.51,71669.4,79.52,9941.88,99.5,T
2024,76984.03,76.89,67054.54,74.4,9929.5,99.38,T
2025,72356.78,72.27,62439.67,69.28,9917.11,99.26,T
2026,67729.54,67.65,57824.81,64.16,9904.73,99.13,T
2027,63102.29,63.03,53209.95,59.04,9892.34,99.01,T
2028,58475.04,58.4,48595.09,53.92,9879.96,98.88,T
2029,53847.79,53.78,43980.22,48.8,9867.57,98.76,T
2030,49220.55,49.16,39365.36,43.68,9855.19,98.64,T
2031,44593.3,44.54,34750.5,38.56,9842.8,98.51,T
2032,39966.05,39.92,30135.63,33.44,9830.42,98.39,T
2033,35338.8,35.3,25520.77,28.32,9818.03,98.26,T
2034,30711.55,30.67,20905.91,23.2,9805.65,98.14,T
2035,26084.31,26.05,16291.05,18.08,9793.26,98.02,T
2036,21457.06,21.43,11676.18,12.95,9780.88,97.89,T
2037,16829.81,16.81,7061.32,7.83,9768.49,97.77,T
2038,12202.56,12.19,2446.46,2.71,9756.11,97.64,T
2039,7575.32,7.57,0,0,9743.72,97.52,T
2040,2948.07,2.94,0,0,9731.34,97.4,T
2041,0,0,0,0,9718.95,97.27,T
2042,0,0,0,0,9706.57,97.15,T
2043,0,0,0,0,9694.18,97.03,T
2044,0,0,0,0,9681.8,96.9,T
2045,0,0,0,0,9669.41,96.78,T
2046,0,0,0,0,9657.03,96.65,T
2047,0,0,0,0,9644.64,96.53,T
2048,0,0,0,0,9632.26,96.41,T
2049,0,0,0,0,9619.87,96.28,T
2050,0,0,0,0,9607.49,96.16,T
