分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,115165.71
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,12618.03
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,127783.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,118425.16
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,12561.71
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,130986.87
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,115984.06999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,11810.86
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,127794.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,98409.8
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,10910.4
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,109320.2
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,108593.33
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,10399.26
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,118992.59
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,90128.85
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,9991.42
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,100120.27
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,6065.3183102209305
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,88985.97
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,9775.94
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,98761.91
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,6088.03750888438
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,7.545
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,31.717
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,2.627
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,21.674999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,88.618
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,7.88
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,25.128999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,185.637
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,12.347000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,18.622999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,136.03
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,13.085
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,8.415
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,37.834
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,4.3870000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,7.92
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,15.241999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,6.313000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,18.377000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,12.086
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,5.625
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,34.361999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,31.395000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,7.22
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,19.165
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,30.099
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,4.821999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,11.856
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,15.434
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.169
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,7.848000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,4.106999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.28800000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.047
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,7.776
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,10.132
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.395
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.138
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,5.212999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,7.849
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.29800000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.138
E,環境違規,違反環境法規金額-misc,,元,2011,336000
E,環境違規,違反環境法規次數-misc,,次,2011,5
E,環境違規,違反環境法規金額-空氣,,元,2011,450000
E,環境違規,違反環境法規次數-空氣,,次,2011,1
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,106000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,5000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,420000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
