分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2010,6000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,12000
E,環境違規,違反環境法規次數-misc,,次,2012,2
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2014,6000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2017,1500
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,494
S,員工薪資,薪資中位數,,仟元,2020,467
S,員工薪資,平均薪資,,仟元,2019,505
S,員工薪資,薪資中位數,,仟元,2019,479
S,員工薪資,平均薪資,,仟元,2018,512
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,營運狀況,營業收入,,仟元,2020,962510
G,營運狀況,營業成本,,仟元,2020,940489
G,營運狀況,營業費用,,仟元,2020,90643
G,營運狀況,淨利,,仟元,2020,-32794
G,營運狀況,營業收入,,仟元,2019,1142137
G,營運狀況,營業成本,,仟元,2019,1146465
G,營運狀況,營業費用,,仟元,2019,118965
G,營運狀況,淨利,,仟元,2019,-124106
G,營運狀況,營業收入,,仟元,2018,1413110
G,營運狀況,營業成本,,仟元,2018,1434565
G,營運狀況,營業費用,,仟元,2018,142765
G,營運狀況,淨利,,仟元,2018,-176411
G,營運狀況,營業收入,,仟元,2017,1270214
G,營運狀況,營業成本,,仟元,2017,1297548
G,營運狀況,營業費用,,仟元,2017,118627
G,營運狀況,淨利,,仟元,2017,-224527
G,營運狀況,營業收入,,仟元,2016,1128045
G,營運狀況,營業成本,,仟元,2016,1112463
G,營運狀況,營業費用,,仟元,2016,114860
G,營運狀況,淨利,,仟元,2016,-146075
