分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,30200.190000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,6285.14
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,36485.33
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,24091.030000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,4081.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,28172.13
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,9.903
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,15.85
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,4.851
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.873
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,20.429
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,33.587
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,9.298
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,5.824
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,38.486999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,58.044
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,12.916
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,6.404
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,21.784
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,38.235
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,7.198
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,4.025
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,35.308
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,55.168
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,10.018
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,5.368
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,47.518
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,57.525000000000006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,21.484
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,6.164
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,10.641
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.5309999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,3.295
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.7889999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,17.722
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,5.605
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,7.976999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1.2309999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,22.204
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,11.053
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,16.067999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.525
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,45.053999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,70.35600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,20.592000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,2.705
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.05
E,環境違規,違反環境法規金額-misc,,元,2011,6000
