年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,72850.71,114.99,21574.42,123.57,51276.29,111.73,
2019,63352.34,100,17459.27,100,45893.07,100,
2018,83022.29,131.05,21862.25,125.22,61160.04,133.27,
2017,113309.13,178.86,31150.49,178.42,82158.64,179.02,
2016,118709.46,187.38,35339.06,202.41,83370.4,181.66,
2015,139046.84,219.48,39607.12,226.85,99439.72,216.68,
2014,163402.07,257.93,44757.45,256.35,118644.62,258.52,
2013,170165.57,268.6,48141.08,275.73,122024.49,265.89,
2021,59364.57,93.71,18382.4,105.29,40982.17,89.3,T
2022,45878.43,72.42,15190.37,87,30688.06,66.87,T
2023,32392.29,51.13,11998.35,68.72,20393.94,44.44,T
2024,18906.15,29.84,8806.33,50.44,10099.82,22.01,T
2025,5420.01,8.56,5614.3,32.16,0,0,T
2026,0,0,2422.28,13.87,0,0,T
2027,0,0,0,0,0,0,T
2028,0,0,0,0,0,0,T
2029,0,0,0,0,0,0,T
2030,0,0,0,0,0,0,T
2031,0,0,0,0,0,0,T
2032,0,0,0,0,0,0,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
