統編,年份,Tot數值,Tot變化,是承諾值
11686106,2018,153992.18,109.47,
11686106,2019,140667.63,100,
11686106,2020,130538.37,92.8,
11686106,2021,145149.48,103.19,T
11686106,2022,143794.35,102.22,T
11686106,2023,142439.22,101.26,T
11686106,2024,141084.09,100.3,T
11686106,2025,139728.96,99.33,T
11686106,2026,133766.39,95.09,T
11686106,2027,127803.82,90.86,T
11686106,2028,121841.24,86.62,T
11686106,2029,115878.67,82.38,T
11686106,2030,109916.1,78.14,T
58650902,2013,9526226.94,114.42,
58650902,2014,10127125.24,121.64,
58650902,2015,10450625.09,125.52,
58650902,2016,10277685.55,123.45,
58650902,2017,8809089.78,105.81,
58650902,2018,9021750.09,108.36,
58650902,2019,8325551.29,100,
58650902,2020,8327358.3,100.02,
58650902,2021,8190376.46,98.38,T
58650902,2022,8023225.92,96.37,T
58650902,2023,7856075.38,94.36,T
58650902,2024,7688924.84,92.35,T
58650902,2025,7521774.3,90.35,T
58650902,2026,7271048.49,87.33,T
58650902,2027,7020322.68,84.32,T
58650902,2028,6769596.87,81.31,T
58650902,2029,6518871.06,78.3,T
58650902,2030,6268145.25,75.29,T
75370905,2014,5930965.93,100.96,
75370905,2015,6211726.96,105.74,
75370905,2016,5992412.11,102.01,
75370905,2017,6278523.74,106.88,
75370905,2018,6132619.94,104.39,
75370905,2019,5874543.93,100,
75370905,2020,5828642.49,99.22,
75370905,2021,5868888.89,99.9,T
75370905,2022,5791666.67,98.59,T
75370905,2023,5714444.44,97.27,T
75370905,2024,5637222.22,95.96,T
75370905,2025,5560000,94.65,T
75370905,2026,5351500,91.1,T
75370905,2027,5143000,87.55,T
75370905,2028,4934500,84,T
75370905,2029,4726000,80.45,T
75370905,2030,4517500,76.9,T
75708007,2013,2778051.38,35.06,
75708007,2014,8132911.06,102.63,
75708007,2015,8166006.74,103.05,
75708007,2016,7921690.61,99.97,
75708007,2017,8208337.34,103.58,
75708007,2018,8130385.66,102.6,
75708007,2019,7924290.4,100,
75708007,2020,7933830.04,100.12,
75708007,2021,8289600,104.61,T
75708007,2022,7944200,100.25,T
75708007,2023,7598800,95.89,T
75708007,2024,7253400,91.53,T
75708007,2025,6908000,87.17,T
75708007,2026,6562600,82.82,T
75708007,2027,6217200,78.46,T
75708007,2028,5871800,74.1,T
75708007,2029,5526400,69.74,T
75708007,2030,5181000,65.38,T
83387850,2014,55740,126.88,
83387850,2015,47510.84,108.15,
83387850,2016,55983.97,127.44,
83387850,2017,59378.81,135.17,
83387850,2018,52926.16,120.48,
83387850,2019,43929.78,100,
83387850,2020,48858.41,111.22,T
83387850,2021,46824.53,106.59,T
83387850,2022,44790.65,101.96,T
83387850,2023,42756.78,97.33,T
83387850,2024,40722.9,92.7,T
83387850,2025,38689.02,88.07,T
86522210,2013,30443533.59,110.62,
86522210,2014,30094318.75,109.35,
86522210,2015,29527294.52,107.29,
86522210,2016,28291153.97,102.8,
86522210,2017,27252562.15,99.02,
86522210,2018,28430748.23,103.3,
86522210,2019,27521239.37,100,
86522210,2020,25633761.27,93.14,
86522210,2021,26378550.88,95.85,T
86522210,2022,25989591.02,94.43,T
86522210,2023,25600631.15,93.02,T
86522210,2024,25211671.29,91.61,T
86522210,2025,24822711.42,90.19,T
86522210,2026,24440823.55,88.81,T
86522210,2027,24058935.68,87.42,T
86522210,2028,23677047.82,86.03,T
86522210,2029,23295159.95,84.64,T
86522210,2030,22913272.08,83.26,T
03084741,2014,1543962.07,80.74,
03084741,2015,1600735.56,83.71,
03084741,2016,1920676.09,100.44,
03084741,2017,2174633.91,113.72,
03084741,2018,2123220.45,111.03,
03084741,2019,1912328.89,100,
03084741,2020,1078054.27,56.37,
03084741,2021,2058771.12,107.66,T
03084741,2022,2034261.94,106.38,T
03084741,2023,2009752.76,105.09,T
03084741,2024,1985243.58,103.81,T
03084741,2025,1960734.4,102.53,T
03084741,2026,1813679.32,94.84,T
03084741,2027,1666624.24,87.15,T
03084741,2028,1519569.16,79.46,T
03084741,2029,1372514.08,71.77,T
03084741,2030,1225459,64.08,T
03707901,2013,8786220.05,113.66,
03707901,2014,8645830,111.84,
03707901,2015,7719493.64,99.86,
03707901,2016,7378004.73,95.44,
03707901,2017,7255389.07,93.86,
03707901,2018,7959450.7,102.96,
03707901,2019,7730355.53,100,
03707901,2020,6669261.89,86.27,
03707901,2021,7819025.91,101.15,T
03707901,2022,7583945.6,98.11,T
03707901,2023,7348865.28,95.07,T
03707901,2024,7113784.97,92.02,T
03707901,2025,6878704.66,88.98,T
03707901,2026,6672575.13,86.32,T
03707901,2027,6466445.6,83.65,T
03707901,2028,6260316.06,80.98,T
03707901,2029,6054186.53,78.32,T
03707901,2030,5848056.99,75.65,T
