統編,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
73252657,2020,117759.8,100.68,38172.33,101.22,79587.47,100.43,
73252657,2019,116962.86,100,37713.93,100,79248.93,100,
73252657,2018,135244.3,115.63,43244.56,114.66,91999.74,116.09,
73252657,2017,142238.12,121.61,45411.12,120.41,96827,122.18,
73252657,2016,140670.17,120.27,46008.05,121.99,94662.12,119.45,
73252657,2015,139076.67,118.91,45806.44,121.46,93270.23,117.69,
73252657,2014,144448.42,123.5,50445.23,133.76,94003.19,118.62,
73252657,2021,109600.36,93.71,35759.4,94.82,73840.96,93.18,T
73252657,2022,101440.92,86.73,33346.47,88.42,68094.45,85.92,T
73252657,2023,93281.48,79.75,30933.54,82.02,62347.94,78.67,T
73252657,2024,85122.04,72.78,28520.61,75.62,56601.43,71.42,T
73252657,2025,76962.6,65.8,26107.68,69.23,50854.92,64.17,T
73252657,2026,68803.16,58.82,23694.75,62.83,45108.41,56.92,T
73252657,2027,60643.72,51.85,21281.82,56.43,39361.9,49.67,T
73252657,2028,52484.28,44.87,18868.89,50.03,33615.39,42.42,T
73252657,2029,44324.84,37.9,16455.96,43.63,27868.88,35.17,T
73252657,2030,36165.4,30.92,14043.03,37.24,22122.37,27.92,T
73252657,2031,28005.96,23.94,11630.1,30.84,16375.86,20.66,T
73252657,2032,19846.52,16.97,9217.17,24.44,10629.35,13.41,T
73252657,2033,11687.08,9.99,6804.24,18.04,4882.84,6.16,T
73252657,2034,3527.64,3.02,4391.31,11.64,0,0,T
73252657,2035,0,0,1978.38,5.25,0,0,T
73252657,2036,0,0,0,0,0,0,T
73252657,2037,0,0,0,0,0,0,T
73252657,2038,0,0,0,0,0,0,T
73252657,2039,0,0,0,0,0,0,T
73252657,2040,0,0,0,0,0,0,T
73252657,2041,0,0,0,0,0,0,T
73252657,2042,0,0,0,0,0,0,T
73252657,2043,0,0,0,0,0,0,T
73252657,2044,0,0,0,0,0,0,T
73252657,2045,0,0,0,0,0,0,T
73252657,2046,0,0,0,0,0,0,T
73252657,2047,0,0,0,0,0,0,T
73252657,2048,0,0,0,0,0,0,T
73252657,2049,0,0,0,0,0,0,T
73252657,2050,0,0,0,0,0,0,T
86119908,2020,59810.03,114.36,34199.79,122.47,25610.24,105.07,
86119908,2019,52298.8,100,27925.12,100,24373.68,100,
86119908,2021,67321.26,128.72,40474.46,144.94,26846.8,110.15,T
86119908,2022,74832.49,143.09,46749.13,167.41,28083.36,115.22,T
86119908,2023,82343.72,157.45,53023.8,189.88,29319.92,120.29,T
86119908,2024,89854.95,171.81,59298.47,212.35,30556.48,125.37,T
86119908,2025,97366.18,186.17,65573.14,234.82,31793.04,130.44,T
86119908,2026,104877.41,200.54,71847.81,257.29,33029.6,135.51,T
86119908,2027,112388.64,214.9,78122.48,279.76,34266.16,140.59,T
86119908,2028,119899.87,229.26,84397.15,302.23,35502.72,145.66,T
86119908,2029,127411.1,243.62,90671.82,324.7,36739.28,150.73,T
86119908,2030,134922.33,257.98,96946.49,347.17,37975.84,155.81,T
86119908,2031,142433.56,272.35,103221.16,369.64,39212.4,160.88,T
86119908,2032,149944.79,286.71,109495.83,392.11,40448.96,165.95,T
