stock_code,name,name_abbr,tax_code,parent_tax_code,amount_capital,address,ind_class_codes,industry_code,industry,company_type
6534,正瀚生技股份有限公司,正瀚-創,54313303,,1028000000,南投縣南投市內興里文獻路８９號,"183099,191011,454700,454811",22,生技醫療業,上市公司
3339,泰谷光電科技股份有限公司,泰谷,70774610,,516312760,南投縣南投市平山里自強三路１８號,269999,26,光電業,上櫃公司
,高冠企業股份有限公司,,61943713,,504424880,南投縣南投市平山里２４鄰自強三路１號,"184199,339999",,,
1735,日勝化工股份有限公司,日勝化,23263551,,993880000,南投縣南投市新興里工業南二路７號,184199,21,化學工業,上市公司
8354,冠好科技股份有限公司,冠好,86779099,,701180920,南投縣南投市新興里成功三路２３９號,"159999,469923,461915,461999",20,其他,上櫃公司
1537,廣隆光電科技股份有限公司,廣隆,23556563,,820627940,南投縣南投市永豐里南崗三路２４４號,"282012,282011,483111",05,電機機械,上市公司
,上偉碳纖複合材料股份有限公司,,85020273,,530000000,南投縣南投市永豐里工業南六路１１號,220999,,,
,樹億興業股份有限公司,,97750078,,619756000,南投縣南投市永豐里工業東路７號,"184199,462099",,,
9942,茂順密封元件科技股份有限公司,茂順,61904541,,831613000,南投縣南投市永豐里工業路３３６號,259999,20,其他,上市公司
,台豐運搬設備股份有限公司,,24831737,,911748000,南投縣南投市永豐里０１１鄰自立一路５號,"293511,319099",,,
,台灣銅箔股份有限公司,,61932639,,800000000,南投縣南投市永豐里１１鄰成功三路１５０號,243311,,,
2114,鑫永銓股份有限公司,鑫永銓,51704734,,779917070,南投縣南投市福興里南崗三路２９４號,"210999,184200,220912,277999",11,橡膠工業,上市公司
6506,双邦實業股份有限公司,雙邦,23531297,,823608260,南投縣南投市福興里永興路３號,"184199,210911,451099,199099",04,紡織纖維,上櫃公司
,台灣佳美工股份有限公司,,62236300,,600000000,南投縣埔里鎮水頭里隆生路８７之１號,"262000,291299,464211,269913",,,
,富成金屬科技股份有限公司,,79970965,,640448960,南投縣竹山鎮延平里０２８鄰延平六路１號,242211,,,
,環電股份有限公司,,24790031,,36771652670,南投縣草屯鎮上林里太平路一段３５１巷１４１號,"649911,681112,271100,269999",,,
,環鴻科技股份有限公司,,28990714,,1980000000,南投縣草屯鎮上林里太平路１段３５１巷１４１號,"272999,269999,464299,464111",,,
,環隆電氣股份有限公司,,61781463,,1399727400,南投縣草屯鎮上林里太平路１段３５１巷１４１號,"261199,271918,464921",,,
,億翔機械股份有限公司,,66619715,,666598000,嘉義市東　區後湖里保順路２２８號,"251199,254411",,,
,遠東機械工業股份有限公司,,65818201,,1167310000,嘉義市東　區後湖里忠孝路７５２號,"291211,259999,422099,254999",,,
,勤億蛋品科技股份有限公司,,66557154,,550000000,嘉義市西　區紅瓦里新民路３７號,"454511,089199",,,
,昌徽企業股份有限公司,,50925956,,2400000000,嘉義縣大林鎮大美里大埔美園區三路４８號,"259100,461515,464922",,,
,曜智實業股份有限公司,,12617727,,500000000,嘉義縣太保市過溝里嘉太工業區中興路１１號,"114011,220111,455111,473111",,,
,友良高科技紡織股份有限公司,,79838241,,500000000,嘉義縣太保市過溝里１５鄰嘉太工業區光復路１０號,"115999,112114,111114,121017",,,
,台灣必成股份有限公司,,22662355,,1000000000,嘉義縣新港鄉中洋村中洋工業區２之１號,231300,,,
1742,台灣蠟品股份有限公司,台蠟,22625269,,935593000,嘉義縣民雄鄉北斗村中正路１號,"199099,170099,454399,351000",21,化學工業,上櫃公司
,台灣新日化股份有限公司,,23527245,,500000000,嘉義縣民雄鄉北斗村中正路４５號,"181099,193199,199099,193212",,,
,福隆玻璃纖維股份有限公司,,22663571,,783291000,嘉義縣民雄鄉北斗村中華路８９號,231300,,,
,佑螢股份有限公司,,16062276,,593615340,嘉義縣民雄鄉北斗村２６鄰成功街７號,152011,,,
,發得科技工業股份有限公司,,23985213,,571740560,嘉義縣民雄鄉福樂村中山路２６號,"293999,340099,281099",,,
5464,霖宏科技股份有限公司,霖宏,89396770,,710714900,嘉義縣民雄鄉福樂村中山路６號,"263000,269199,271100,271999",28,電子零組件業,上櫃公司
,東隆五金工業股份有限公司,,54160453,,1623000000,嘉義縣民雄鄉福樂村００４鄰中華路８２號,"251113,251299,285912,285999",,,
1568,倉佑實業股份有限公司,倉佑,66654986,,1030865590,嘉義縣民雄鄉福樂村４鄰中山路１８號,"465311,465314,251299,303099",12,汽車工業,上市公司
,耐斯企業股份有限公司,,65403770,,1550595000,嘉義縣民雄鄉福樂村４鄰中山路２１號,"193199,092099,456999,457199",,,
,啟坤科技股份有限公司,,04465819,,545543950,嘉義縣民雄鄉興南村３鄰工業一路３號,"331111,259999,458299,464999",,,
1217,愛之味股份有限公司,愛之味,65534366,,4945133360,嘉義縣民雄鄉興南村３鄰工業二路１１號,"083021,475299,092011,472312",02,食品工業,上市公司
,台灣第一生化科技股份有限公司,,70744139,,1326510000,嘉義縣民雄鄉興南村３鄰工業二路１２－１號,"089699,092099,454512,454913",,,
8937,合騏工業股份有限公司,合騏,66338721,,724788000,嘉義縣義竹鄉龍蛟村１５鄰義工二路２號,"303099,312100,313200,312200",20,其他,上櫃公司
,倍碟科技股份有限公司,,16847670,,600600000,基隆市七堵區六堵里工建南路２１號,"274013,284100,269911,271100",,,
3491,昇達科技股份有限公司,昇達科,16999508,,637653620,基隆市七堵區六堵里工建路１號,269999,27,通信網路業,上櫃公司
,中國端子電業股份有限公司,,04698269,,855000000,基隆市七堵區六堵里工建路１－７號,"303011,312200,284299,281099",,,
3533,嘉澤端子工業股份有限公司,嘉澤,22244141,,1114721180,基隆市安樂區中崙里武訓街１５號,"273099,271999,269999,464111",28,電子零組件業,上市公司
,興中紙業股份有限公司,,12902829,,700000000,宜蘭縣五結鄉中興村中興路３段８號,"151299,292999,159999,681112",,,
,旭愛能源股份有限公司,,56609034,,1045000000,宜蘭縣五結鄉成興村利工一路二段１號２樓,"281099,351000",,,
,福國冷凍股份有限公司,,86965586,,560000000,宜蘭縣五結鄉成興村利工一路２段５６號,"082011,530200,472311",,,
,山陽科技股份有限公司,,28624787,,1000000000,宜蘭縣五結鄉成興村利工二路１５號,"269999,281099",,,
,薛長興工業股份有限公司,,41910405,,801000000,宜蘭縣五結鄉鎮安村西河一路１２８巷２７號,"210999,220999,115199,681112",,,
1734,杏輝藥品工業股份有限公司,杏輝,42042734,,1677220220,宜蘭縣冬山鄉中山村中山路８４號,"200211,193299,475112,089800",22,生技醫療業,上市公司
6753,龍德造船工業股份有限公司,龍德造船,40607762,,1077500000,宜蘭縣冬山鄉大興村德興五路１５號,"311011,740200,289099,281099",15,航運業,上市公司
1342,八貫企業股份有限公司,八貫,12386676,,713448470,宜蘭縣冬山鄉大興村德興四路６號,"220913,220911",20,其他,上市公司
,新寶元鋼鐵股份有限公司,,80471489,,720000000,宜蘭縣冬山鄉東城村香中路２８６及３１０號,241313,,,
,東山林開發事業股份有限公司,,28035584,,2230139800,宜蘭縣冬山鄉武淵村２鄰武淵一路６１號,"370000,340099,551012,711299",,,
1108,幸福水泥股份有限公司,幸福,40601248,,4986460000,宜蘭縣南澳鄉東岳村蘇花路３段１０１號,233100,01,水泥工業,上市公司
,偉翔生技開發股份有限公司,,84643105,,1468044810,宜蘭縣宜蘭市建業里宜科東路５號２樓之６,"456700,454920,089999,454400",,,
,必翔電動汽車股份有限公司,,25010835,,1000000000,宜蘭縣蘇澳鎮蘇東里港區２８號,303011,,,
,綺麗珊瑚股份有限公司,,12319086,,561500000,宜蘭縣蘇澳鎮頂寮里利工一路一段６號,"474512,339112,456612,561115",,,
,羅東鋼鐵廠股份有限公司,,42010509,,1552500000,宜蘭縣蘇澳鎮龍德里德興一路５７號,"241313,241311,241213",,,
8924,大田精密工業股份有限公司,大田,23060009,,838000000,屏東縣內埔鄉豐田村建富路８號,"331111,773011,476211,458211",37,nan,上櫃公司
,大慶汽車工業股份有限公司,,22318282,,863000000,屏東縣屏東市前進里大溪路３３５號,"301099,312200",,,
,富惟工業股份有限公司,,35820948,,600000000,屏東縣屏東市前進里大溪路３３５－３號,"251299,303099",,,
,台灣本田汽車股份有限公司,,28459816,,2101000000,屏東縣屏東市前進里大溪路３３７號,"302012,303099",,,
,宏利汽車部件股份有限公司,,54614315,,1017337550,屏東縣屏東市前進里經建路３２號,"465311,303099,251299,259999",,,
8420,明揚國際科技股份有限公司,明揚,28288026,,552199890,屏東縣屏東市前進里經建路３８號,331199,37,nan,上櫃公司
,溢泰實業股份有限公司,,90765596,,1326000000,屏東縣屏東市大洲里環東街３號,"239999,285913,220300,458212",,,
,國興畜產股份有限公司,,86660894,,750000000,屏東縣屏東市橋南里工業一路１１號,"087000,453112,012200,454212",,,
3071,協禧電機股份有限公司,協禧,90724033,,1100000000,屏東縣屏東市橋南里工業六路東段６號,"281011,283211,273013,312100",25,電腦及週邊設備業,上櫃公司
8936,國統國際股份有限公司,國統,91888619,,2480781570,屏東縣新園鄉新園村媽祖路４００號,"233300,241211,241212,451099",20,其他,上櫃公司
,銘榮元實業股份有限公司,,86764223,,650000000,屏東縣新園鄉新園村媽祖路４１８號,"292600,434012,464312,461515",,,
4417,金洲海洋科技股份有限公司,金洲,91871595,,839713990,屏東縣新園鄉港西村興安路１２號,"115212,115211,292999,454311",04,紡織纖維,上櫃公司
,城市發展電業股份有限公司,,82834986,,1200000000,屏東縣東港鎮共和里共和街９９－１號,281099,,,
6582,申豐特用應材股份有限公司,申豐,85841102,,1061741410,屏東縣枋寮鄉太源村中山路三段５５號,"199099,193199",11,橡膠工業,上市公司
,明徽企業股份有限公司,,84810139,,720000000,屏東縣枋寮鄉東海村永翔路１８號,"259100,259212,461515,464999",,,
,虹京金屬股份有限公司,,28298045,,680000000,屏東縣枋寮鄉東海村永翔路１９號,"259999,239999,461513,181099",,,
,揚泰綠能股份有限公司,,83795602,,1043571340,屏東縣枋寮鄉東海村永翔路２之１２號,"353011,462099,382111,199099",,,
7507,環拓科技股份有限公司,環拓科技,27695279,,1020999740,屏東縣枋寮鄉東海村永翔路２５號,"292999,293700,462099,382112",35,nan,興櫃公司
,兆欣化學工業股份有限公司,,16450092,,760000000,屏東縣枋寮鄉東海村精進路１號,"183011,181099,183012",,,
,安祐投資股份有限公司,,24870647,,1492400000,屏東縣萬丹鄉社口村加社路２０３號１樓,"649911,303099,312200,269911",,,
,喬本生醫股份有限公司,,29184631,,676159700,屏東縣長治鄉德和村神農東路９號,"011699,089999,454999,472999",,,
1909,榮成紙業股份有限公司,榮成,34202841,,13276857270,彰化縣二林鎮廣興里廣興巷１之１號,"151299,370000",09,造紙工業,上市公司
,羽台實業股份有限公司,,97047494,,786259360,彰化縣二水鄉裕民村南通路２段６６４巷３３號,112299,,,
2056,璋釔鋼鐵廠股份有限公司,璋釔鋼鐵,59315006,,1203640000,彰化縣伸港鄉新港村新港路６０－２號,"469925,461512,456211,241400",10,鋼鐵工業,公開發行公司
4535,至興精機股份有限公司,至興,22794503,,756617400,彰化縣伸港鄉溪底村工八路３號,"251299,469925",05,電機機械,上櫃公司
2497,怡利電子工業股份有限公司,怡利電,59334664,,1227984630,彰化縣伸港鄉溪底村工東一路３７號,"273099,272999,272112,451099",12,汽車工業,上市公司
1474,弘裕企業股份有限公司,弘裕,58003997,,1298969690,彰化縣伸港鄉溪底村工西一路６０號,"112999,111999,115999,455113",04,紡織纖維,上市公司
4513,福裕事業股份有限公司,福裕,55848584,,1068803000,彰化縣伸港鄉溪底村興工路３４號,"291211,670012",05,電機機械,上櫃公司
1586,和勤精機股份有限公司,和勤,86985605,,863123020,彰化縣伸港鄉溪底村興工路４０號,251299,05,電機機械,上櫃公司
,台鋼資源股份有限公司,,45125791,,1490000000,彰化縣伸港鄉蚵寮村彰濱西五路１８號,233100,,,
6581,台灣鋼聯股份有限公司,鋼聯,89528054,,1112708870,彰化縣伸港鄉蚵寮村線工北一路３６號,"381211,382200,249999,239999",35,nan,上市公司
,總成實業股份有限公司,,22950911,,656000000,彰化縣北斗鎮光復里復興路３５０號,"114099,112299,115199,292411",,,
4558,寶緯工業股份有限公司,寶緯,23209895,,500000000,彰化縣北斗鎮大新里００９鄰財神路３０號,"242312,434013,254411,249100",05,電機機械,上櫃公司
4430,耀億工業股份有限公司,耀億,59021804,,562736090,彰化縣和美鎮四張里彰美路６段３３４號,"331199,115212,115214,112112",20,其他,上櫃公司
2106,建大工業股份有限公司,建大,59619900,,9548900000,彰化縣員林市中央里中山路１段１４６號,"210100,220112,465311,458211",11,橡膠工業,上市公司
,健強高科技股份有限公司,,86122220,,1000000000,彰化縣員林市中央里柳橋路二段２０７巷８８號,"220111,455111,670012,233300",,,
,富強輪胎工廠股份有限公司,,59743302,,640850000,彰化縣員林市中央里柳橋路二段２８５號,"210100,210200,210999,465315",,,
,艾思妮國際股份有限公司,,84614919,,550000000,彰化縣員林市南東里員草路９２９號,"455111,455211,121022,121024",,,
,松之門控設備股份有限公司,,54818401,,569240000,彰化縣員林市溝皂里０１５鄰柳橋路二段１７１號,"259999,461515,252100",,,
,明躍國際健康科技股份有限公司,,70527203,,800000000,彰化縣埔心鄉瓦北村瑤鳳路１段３９８號,"458299,331199,476299",,,
1466,聚隆纖維股份有限公司,聚隆,22976047,,1111573200,彰化縣埔鹽鄉永樂村番金路９４號,"111999,111300,113000,115999",04,紡織纖維,上市公司
,耐特科技材料股份有限公司,,22911832,,636110790,彰化縣埤頭鄉興農村彰水路四段４６８巷６號,220999,,,
2109,華豐橡膠工業股份有限公司,華豐,59760104,,2793491340,彰化縣大村鄉村上村中山路二段３００號,210100,11,橡膠工業,上市公司
,摩特動力工業股份有限公司,,97166694,,1000000000,彰化縣大村鄉福興村山腳路６６號,"312200,312100,465211,465314",,,
9914,美利達工業股份有限公司,美利達,59052361,,2989838000,彰化縣大村鄉美港村美港路１１６號,"313100,313200,259999",37,nan,上市公司
2105,正新橡膠工業股份有限公司,正新,59504506,,32414155360,彰化縣大村鄉黃厝村美港路２１５號,210100,11,橡膠工業,上市公司
1326,台灣化學纖維股份有限公司,台化,58650902,,58611862910,彰化縣彰化市中庄里中山路３段３５９號,"181099,181015,184199,185099",03,塑膠工業,上市公司
,欣彰天然氣股份有限公司,,59033674,,4007833600,彰化縣彰化市國聖里中山路３段７０８－３１號,"352000,433212,275199,433900",,,
,佳承精工股份有限公司,,22239597,,560000000,彰化縣彰化市國聖里國聖路１７５巷１２１弄５５號,"313200,269999,465311,332900",,,
2351,順德工業股份有限公司,順德,58506816,,1821402490,彰化縣彰化市大竹里彰南路２段２６０號,"269911,264200,331400,476111",24,半導體業,上市公司
4503,金雨企業股份有限公司,金雨,59260902,,603133260,彰化縣彰化市延和里埔內街４１１巷１０１號,"292300,487911,331212",05,電機機械,上櫃公司
,太宇科技股份有限公司,,82947519,,540000000,彰化縣彰化市牛埔里一德南路２６―９號,"313200,331199,289099",,,
1517,利奇機械工業股份有限公司,利奇,59008318,,2278250000,彰化縣彰化市石牌里１鄰石牌路１段１１２號,"303099,312200,293999",05,電機機械,上市公司
1557,金豐機器工業股份有限公司,金豐機器,58303609,,1685554000,彰化縣彰化市莿桐里彰水路１８６號,"291211,275113,269112",05,電機機械,公開發行公司
,和泰車體製造股份有限公司,,83698593,,1000000000,彰化縣溪州鄉溪州村俊勇路５１號,"301011,465111,484111,484311",,,
2034,允強實業股份有限公司,允強,59068700,,4702256330,彰化縣溪州鄉舊眉村中山路四段２７０號,254911,10,鋼鐵工業,上市公司
1218,泰山企業股份有限公司,泰山,59661701,,4999990380,彰化縣田中鎮南路里興工路６號,"084011,087000,011999,082099",02,食品工業,上市公司
,隆芳興業股份有限公司,,84406193,,728000000,彰化縣社頭鄉平和村水井巷５一２號,"115199,111999,112999,455112",,,
,久津實業股份有限公司,,59003799,,827997440,彰化縣福興鄉三汴村２鄰興業路１４號,"092099,454700,472923,092011",,,
,健生實業股份有限公司,,58406008,,597038590,彰化縣福興鄉番婆村１鄰彰鹿路６段５０１號,"465311,231200,277999,284100",,,
2231,為升電裝工業股份有限公司,為升,23219346,,1409176080,彰化縣福興鄉番婆村４鄰彰鹿路６段５４６巷６號,"303011,465311,740999",12,汽車工業,上市公司
9935,慶豐富實業股份有限公司,慶豐富,59198197,,1738389260,彰化縣福興鄉福南村００６鄰沿海路四段３７３號,"115199,140999,220999,140300",38,nan,上市公司
,裕典科技股份有限公司,,80080357,,599601000,彰化縣福興鄉萬豐村福工路４號,"251299,251211",,,
,歐利速精密工業股份有限公司,,16963163,,791000000,彰化縣福興鄉萬豐村００２鄰福工路６號,"292800,464112",,,
9904,寶成工業股份有限公司,寶成,58711014,,29467872130,彰化縣福興鄉萬豐村４鄰福工路２號,"130213,121020,123013,681112",37,nan,上市公司
,台全油封工業股份有限公司,,59340949,,616000000,彰化縣福興鄉萬豐村５鄰福工路２－１號,210999,,,
8350,榮輪科技股份有限公司,榮輪科技,22318868,,603229800,彰化縣福興鄉萬豐村６鄰興業路７號,"313200,241212,242211,242312",20,其他,公開發行公司
,三越紡織工業股份有限公司,,58005518,,506000000,彰化縣秀水鄉埔崙村三越街８２號,"112112,112211,111913,451099",,,
,彥豪金屬工業股份有限公司,,22207032,,796000000,彰化縣秀水鄉鶴鳴村１２鄰民主街１３８號,"313200,458211",,,
4502,健信科技工業股份有限公司,健信,55878947,,579116860,彰化縣線西鄉塭仔村彰濱東一路３號,"303099,461511,292111",05,電機機械,上櫃公司
4561,健椿工業股份有限公司,健椿,59362767,,585216190,彰化縣線西鄉寓埔村彰濱東七路１６號,291299,05,電機機械,上櫃公司
4772,台灣特品化學股份有限公司,台特化,54224077,,1382365520,彰化縣線西鄉寓埔村２１鄰彰濱西三路１號,"181099,199099",21,化學工業,興櫃公司
3003,健和興端子股份有限公司,健和興,59276051,,1556548900,彰化縣線西鄉溝內村彰濱東三路８號,"251199,251211,277999,332900",28,電子零組件業,上市公司
,鴻勝化學科技股份有限公司,,13097528,,500000000,彰化縣線西鄉溝內村線工南二路３號,"181099,181015,199012",,,
,台泥綠能股份有限公司,,23469224,,13508986960,彰化縣線西鄉󻕯仔村彰濱東一路１１號,"281099,351000,433112,433199",,,
,全興工業股份有限公司,,58167007,,1200000000,彰化縣花壇鄉北口村中山路２段７８９號,"303099,312200,210999,319013",,,
,大通電子股份有限公司,,58033900,,500000000,彰化縣花壇鄉北口村１６鄰中山路２段７７１號,"269999,464299",,,
,龍承精密股份有限公司,,28815821,,1118750000,彰化縣花壇鄉灣東村灣東路１２６號,"313200,251299,254199,220912",,,
,宏恩塑膠股份有限公司,,86806053,,672267860,彰化縣芳苑鄉後寮村工區七路３７號,"220999,184199",,,
1587,吉茂精密股份有限公司,吉茂,24157564,,686244490,彰化縣芳苑鄉後寮村工區路２８號,303099,12,汽車工業,上市公司
,豐溢綠能材料股份有限公司,,90732456,,600000000,彰化縣芳苑鄉永興村０２１鄰芳漢路永興段５２５號,"220911,220211,210200",,,
6248,沛波鋼鐵股份有限公司,沛波,38432767,,699561490,彰化縣鹿港鎮山崙里經建十一路３號,"281099,284299,272112,272914",10,鋼鐵工業,上櫃公司
6990,華鉬實業股份有限公司,華鉬,16803770,,600250000,彰化縣鹿港鎮東石里工業西一路１９號,"181099,181014,241213,242211",35,nan,興櫃公司
4538,大詠城機械股份有限公司,大詠城,60256758,,575522650,彰化縣鹿港鎮東石里鹿工南六路２３號１、２樓,"241212,242211,243200,451099",05,電機機械,上櫃公司
