"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"A3404974","台灣杜邦股份有限公司",11907311,"臺北市松山區敦化北路１６７號１３樓",25.0547646,121.5494174
"A34A1174","台塑大金精密化學股份有限公司",70467423,"臺北市松山區敦化北路２０１之３２號４樓",25.057112,121.549533
"A34A1401","李長榮科技股份有限公司",97173920,"臺北市松山區八德路四段８３號５樓",25.0486166,121.5604495
"A34A6897","永寬化學股份有限公司",16584156,"臺北市松山區敦化北路１５５巷３號６樓",25.0541989,121.549824
"A34A7895","協承昌股份有限公司",16326209,"臺北市松山區復興北路１號８樓之７",25.0479311,121.5442257
"A34A8635","約泰實業股份有限公司",11489800,"臺北市松山區復興北路３６９號７樓之６",25.0626001,121.5447579
"A34B0420","台灣科慕股份有限公司",24548079,"臺北市松山區敦化北路１６７號１４樓",25.0547646,121.5494174
"A34B4432","優美特創新材料股份有限公司",42842193,"臺北市松山區南京東路四段１７１號１２樓之４",25.0518401,121.5563649
"A3504193","德亞樹脂股份有限公司",36545738,"臺北市大安區忠孝東路四段４８號５樓",25.0414226,121.5448616
"A35B1403","僑力化工股份有限公司",23991881,"臺北市大安區仁愛路四段２８號４樓",25.037646,121.546502
"A35B5485","永宜股份有限公司",22783344,"臺北市大安區龍圖里復興南路二段８２號６樓之１",25.0309643,121.5433064
"A35B5613","台灣多胺股份有限公司",14032475,"臺北市大安區信義路四段３０６號１１樓之１",25.0329619,121.5549091
"A35B6988","百達精密化學股份有限公司",70476582,"臺北市大安區光復南路４２０巷１弄４１號",25.0356569,121.5569903
"A35B7332","三橫實業股份有限公司",30986119,"臺北市大安區仁愛路三段１０８號７樓",25.0375418,121.5395789
"A35B8340","新龍光塑料股份有限公司",28715554,"臺北市大安區金山南路二段２００號７樓",25.0278072,121.5259208
"A35C7577","東?股份有限公司",11384405,"臺北市大安區敦化南路二段９９號２３樓",25.0288698,121.5494371
"A3604152","台灣苯乙烯工業股份有限公司",20844865,"臺北市中正區羅斯福路一段６號８樓之１",25.0330294,121.5176843
"A3604214","台界化學工業股份有限公司",12213318,"臺北市中山區中山北路一段１１號８樓",25.04845,121.521203
"A36B1072","合記化學股份有限公司",79138401,"臺北市中正區福州街５６號",25.0267749,121.515169
"A36B9105","優美特創新材料股份有限公司",42842193,"臺北市中正區思源街１８號 台大育成中心B棟３０６室",25.0136964,121.5297208
"A36B9264","奕益實業有限公司",89441249,"臺北市中正區羅斯福路二段１０２號１８樓",25.0266805,121.5223937
"A3704095","義芳化學工業股份有限公司",15395706,"臺北市萬華區莒光路３１０號７樓",25.031284,121.4978995
"A37A8709","三義化學工業股份有限公司",23827741,"臺北市萬華區莒光路３１０號７樓",25.031284,121.4978995
"A3905065","昭和特殊氣體股份有限公司",97168953,"臺北市中山區南京東路二段１２５號１４樓",25.052322,121.534423
"A3905887","長春石油化學股份有限公司",11384806,"臺北市中山區臺北市松江路３０１號７樓",25.0611915,121.5334002
"A3906428","信昌化學工業股份有限公司",86120031,"臺北市中山區中山北路二段１１３號９樓",25.0607349,121.52322
"A3907827","產協企業股份有限公司",11829913,"臺北市中山區南京東路二段９０號３樓",25.0517536,121.5311831
"A39A0191","三福化工股份有限公司",80170651,"臺北市中山區中山北路二段２１號５樓",25.053073,121.5228238
"A39A3640","台灣昭和化學品製造股份有限公司",27532156,"臺北市中山區南京東路二段１２５號１４樓",25.052322,121.534423
"A39B4140","台灣索理思股份有限公司",12466782,"臺北市中山區民權東路三段３７號７樓",25.0625914,121.5423132
"A39B4378","和協工程股份有限公司",84447589,"臺北市中山區南京東路二段２０６號１４樓",25.0518085,121.5353947
"A39B5138","國泰樹脂工業股份有限公司",35360705,"臺北市中山區長安東路一段１８號１１樓",25.0491987,121.5235927
"A39B6819","台灣寶理塑膠股份有限公司",22853994,"臺北市中山區南京東路二段１３７號１２樓",25.0523667,121.5351968
"A39B8954","聯超實業股份有限公司",89609149,"臺北市中山區南京東路二段２０６號１３樓之５",25.0518085,121.5353947
"A39C0779","和新化學工業股份有限公司",97105579,"臺北市中山區德惠街９號８樓之２",25.0669305,121.5250017
"A39C8020","青上化工廠股份有限公司",20809467,"臺北市中山區南京東路二段２號８樓",25.0518481,121.5281047
"A39C9197","力麟科技股份有限公司",24973849,"臺北市中山區松江路１６２號１１樓",25.0554904,121.5328073
"A39D1467","台灣陶氏化學股份有限公司",21242638,"臺北市中山區民生東路三段２號５樓之２、之３",25.0576494,121.5376925
"A39D1615","台灣羅門哈斯化學工業股份有限公司",23928282,"臺北市中山區民生東路三段２號５樓之２、３",25.0576494,121.5376925
"A41B2217","昱星生物科技股份有限公司",52485407,"臺北市南港區研究院路一段１３０巷９９號C棟 ５樓之５２４",25.0488983,121.6116098
"A4202732","新鈺生技股份有限公司",22357854,"臺北市內湖區瑞光路３６０號６樓",25.0772089,121.5724071
"A42B2242","穩好高分子化學工業股份有限公司",22363292,"臺北市內湖區內湖路一段１２０巷２１號６樓",25.082001,121.562265
"A42B2698","元鴻應用材料股份有限公司",22878088,"臺北市內湖區瑞光路２５８巷５０號６樓之１",25.074559,121.5747625
