App_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,Sicname1,CO2,CH4,N2O,HFCs,PFCs,SF6,nf3,Tot2,tot,cause,Check_yn
109,75370905,南亞塑膠工業股份有限公司新港廠,9501,Q7100272,嘉義縣,新港鄉,嘉義縣新港鄉嘉義縣新港鄉中洋村中洋工業區2號,2201,塑膠皮、板、管材製造業,34145.72,274.10,20.95,1447.01,0.00,0.00,0.00,809280.88,845168.65,依法申報,是
109,75370905,南亞塑膠工業股份有限公司樹林廠,9500,F0701702,新北市,樹林區,新北市樹林區味王街五五號,1841,合成樹脂及塑膠製造業,348208.63,224.08,1588.34,833.44,0.00,0.00,0.00,2655.38,353509.87,依法申報,是
109,75370905,南亞塑膠工業股份有限公司嘉義廠,9400,Q7600375,嘉義縣,太保市,嘉義縣太保市南新里北港路二段201號,2201,塑膠皮、板、管材製造業,293948.49,174.40,1380.22,286.67,0.00,0.00,0.00,10219.11,306008.89,依法申報,是
109,75370905,南亞塑膠工業股份有限公司錦興廠,9221,H4601398,桃園市,蘆竹區,桃園市蘆竹區南崁路一段336號,2399,未分類其他非金屬礦物製品製造業,806147.01,236.15,3806.03,0.57,0.00,0.00,0.00,14125.08,824314.83,依法申報,是
109,75370905,南亞塑膠工業股份有限公司林口二廠,9220,F1600491,新北市,泰山區,新北市泰山區南林路102號,1841,合成樹脂及塑膠製造業,238147.71,225.73,1100.69,68.58,0.00,0.00,0.00,21851.60,261394.30,依法申報,是
109,75370905,南亞塑膠工業股份有限公司工三廠,5G00,H4801478,桃園市,龜山區,桃園市龜山區樂善里文明路6號,1113,人造纖維加工絲業,154249.87,250.66,273.86,0.00,0.00,0.00,0.00,252216.59,406990.97,依法申報,是
109,96975970,麥寮汽電股份有限公司,11A0,P5801719,雲林縣,麥寮鄉,雲林縣麥寮鄉中興村台塑工業園區7號,3510,電力供應業,10635763.77,2825.28,49711.20,27.23,0.00,2086.20,0.00,0.00,10690413.68,依法申報,是
109,03795904,台灣電力股份有限公司塔山發電廠麒麟分廠,0544,W0803559,金門縣,烈嶼鄉,金門縣烈嶼鄉東林1號,3510,電力供應業,13091.88,13.26,31.62,0.00,0.00,0.00,0.00,0.00,13136.75,依法申報,是
109,03795904,台灣電力股份有限公司塔山發電廠夏興分廠,0543,W0404930,金門縣,金湖鎮,正義里夏興1號,3510,電力供應業,11709.48,11.86,28.28,0.00,0.00,0.00,0.00,0.00,11749.62,依法申報,是
109,03795904,台灣電力股份有限公司塔山發電廠,0391,W0504775,金門縣,金城鎮,金水里西海路一段2號,3510,電力供應業,184352.92,191.12,426.74,31.39,0.00,2.28,0.00,179.25,185183.69,依法申報,是
109,03795904,台灣電力股份有限公司尖山發電廠,0390,X0501232,澎湖縣,湖西鄉,尖山村29之2號,3510,電力供應業,289509.35,304.56,664.36,0.00,0.00,0.00,0.00,259.42,290737.69,依法申報,是
109,03795904,台灣電力股份有限公司大潭發電廠,0380,H5307960,桃園市,觀音區,桃園市觀音區大潭里電廠路1號,3510,電力供應業,10668822.31,4761.46,5669.78,833.15,0.00,1135.44,0.00,2224.38,10683446.52,依法申報,是
109,03795904,台灣電力股份有限公司台中發電廠,0371,L0200473,台中市,龍井區,台中市龍井區麗水里龍昌路1號,3510,電力供應業,25870682.11,92974.74,121943.33,283.32,0.00,14377.68,0.00,46196.81,26146457.99,依法申報,是
109,03795904,台灣電力股份有限公司通霄發電廠,0370,K7000764,苗栗縣,通霄鎮,苗栗縣通霄鎮海濱路1之31號,3510,電力供應業,8329461.87,3778.09,4426.73,865.73,0.00,20287.44,0.00,1038.76,8359858.61,依法申報,是
109,03795904,台灣電力股份有限公司協和發電廠,0360,C1400170,基隆市,中山區,基隆市中山區文化路80號,3510,電力供應業,1804946.05,1817.70,4172.60,96.92,0.00,0.00,0.00,16963.13,1827996.39,依法申報,是
109,03795904,台灣電力股份有限公司第二核能發電廠,0351,F2800075,新北市,萬里區,野柳里八斗路60號,3510,電力供應業,10512.82,162.16,30.49,1545.35,0.00,613.32,0.00,6847.75,19711.88,依法申報,是
109,03795904,台灣電力股份有限公司第一核能發電廠,0350,F2200084,新北市,石門區,乾華里小坑12號,3510,電力供應業,13128.28,111.30,35.73,446.22,0.00,0.00,0.00,49535.17,63256.70,依法申報,是
