year,stock_code,industry_category,nr_employee,em_salary_total,em_salary_avg,em_salary_med,eps,ind_avg_em_salary_avg,ind_avg_eps,note_a,note_b,note_c,notes
2023,"1,383,027,664",,,,,,,,,,,,
2023,1101,水泥工業,1168.0,1161575.0,994.0,871.0,1.06,882.0,1.68,True,True,True,台泥112年度EPS 1.06元較高，主要係112年度營業外收入-採用權益法之子公司及關聯企業損益份額較去年同期增加新台幣29.8億元所致。
2023,1102,水泥工業,444.0,481015.0,1083.0,941.0,3.28,882.0,1.68,True,True,True,
2023,1103,水泥工業,75.0,65157.0,869.0,800.0,0.12,882.0,1.68,True,True,True,112年度單一員工薪資相比111年度多是調升的，但112年度許多理級主管晉升為經理人，依規定「經理人」不計入非擔任主管職務之全時員工薪資，再加以112年有多位資深員工退休及新進員工較往年多，致整體平均薪資微幅調降
2023,1104,水泥工業,466.0,379255.0,814.0,745.0,3.13,882.0,1.68,True,True,True,112年度EPS較佳，主要係因營業外收入-採用權益法認列之關聯企業損益份額、以及一次性認列所致。
2023,1108,水泥工業,387.0,229564.0,593.0,516.0,1.3,882.0,1.68,True,True,True,
2023,1109,水泥工業,329.0,224830.0,683.0,650.0,2.01,882.0,1.68,True,True,True,本公司非擔任主管職務之全時員工，以工廠基層員工為主，且112年底新聘雇外籍員工，使薪資平均數較同業低。112年績效良好，亦同步調增員工薪資，故平均薪資較去年增約6%，往後仍將依營運狀況，合理調整薪酬。
2023,1110,水泥工業,85.0,64854.0,763.0,673.0,0.26,882.0,1.68,True,True,True,
2023,1201,食品工業,1309.0,952679.0,728.0,673.0,0.53,842.0,2.7,True,True,True,本公司112年度EPS雖較111年度成長0.13%，惟112年度營收較111年度減少1.7%，致影響相關績效獎金之發放，因此即使有年度調薪，平均薪資仍較111年度減少0.8%。
2023,1203,食品工業,682.0,408916.0,600.0,574.0,1.8,842.0,2.7,True,True,True,
2023,1210,食品工業,2760.0,2085431.0,756.0,634.0,4.81,842.0,2.7,True,True,True,本公司營業項目與其它食品業有所差異，營業比重以飼料為大宗佔50%，食品相對略低佔16%，人力結構外籍移工逾三成。依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放。
2023,1213,食品工業,89.0,35445.0,398.0,383.0,-2.45,842.0,2.7,True,True,True,112年4月下旬至11月因食安事件致工廠全面停工，公司營收不如預期，非經理人之全時員工薪資平均數雖未達，但非主管同仁薪資仍依基本工資做調整。
2023,1215,食品工業,2085.0,1485060.0,712.0,563.0,7.7,842.0,2.7,True,True,True,112年適逢全球禽流感，導致大量缺雞缺蛋，導致雞、 蛋雙雙創下歷史新高價格，致使公司獲利增加。員工薪資平均數較前一年增加約7%，與公司經營績效之關聯性屬合理狀況。
2023,1216,食品工業,5472.0,6468100.0,1182.0,1006.0,3.23,842.0,2.7,True,True,True,"EPS較前一年度增加，全時員工年度獎金總額及薪資總額均增加195,650(仟元)；因員工人數增加168人，且高薪資深員工離退，新進員工比例增加，導致年度薪資平均數較前一年度減少"
2023,1217,食品工業,540.0,368396.0,682.0,583.0,0.41,842.0,2.7,True,True,True,
2023,1218,食品工業,517.0,307767.0,595.0,547.0,-0.17,842.0,2.7,True,True,True,
2023,1219,食品工業,559.0,371652.0,665.0,606.0,0.94,842.0,2.7,True,True,True,
2023,1220,食品工業,183.0,113718.0,621.0,578.0,0.76,842.0,2.7,True,True,True,
2023,1225,食品工業,209.0,144150.0,690.0,631.0,1.6,842.0,2.7,True,True,True,
2023,1227,食品工業,1014.0,840524.0,829.0,736.0,1.35,842.0,2.7,True,True,True,1.2022年度因COVID-19疫情影響，為體恤並激勵同仁而加發疫情獎金，2023年度則回歸正常。2.2023年度員工總人數增加 7.5%，因新人比例偏高而間接影響非經常性薪資。
2023,1229,食品工業,1251.0,964406.0,771.0,703.0,2.64,842.0,2.7,True,True,True,
2023,1231,食品工業,2216.0,1521941.0,687.0,595.0,3.93,842.0,2.7,True,True,True,公司基層人力佔七成以上，其中外籍移工、建教生及未全年在職人數佔38%；員工人數雖較去年成長11%，然而因新進同仁年資較少，影響整體薪資平均數。本公司秉持共創價值、利潤分享之理念，將持續提升員工薪資福利。
2023,1232,食品工業,139.0,219100.0,1576.0,1392.0,7.53,842.0,2.7,True,True,True,
2023,1233,食品工業,788.0,489110.0,621.0,530.0,1.06,842.0,2.7,True,True,True,
2023,1234,食品工業,528.0,442069.0,837.0,756.0,2.36,842.0,2.7,True,True,True,
2023,1235,食品工業,12.0,5210.0,434.0,459.0,1.1,842.0,2.7,True,True,True,"1.本公司已成立50多年，老員工已退休，目前員工為年資較淺之新員工。2.公司獲利原因為業外投資收益，本業實則處於虧損狀態。3.公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。"
2023,1236,食品工業,604.0,318506.0,527.0,462.0,0.16,842.0,2.7,True,True,True,
2023,1240,農業科技,90.0,59717.0,664.0,579.0,4.12,609.0,0.13,True,True,True,"EPS較前一年成長非經理人全時員工薪資平均112年664仟元較111年(前一年)679仟元少：公司經營績效與員工薪酬關聯性並未變化,主要是本公司肉品行銷部112年人員較111年人員大幅減少往年行銷部人員薪酬可能拉高平均值所致"
2023,1259,觀光餐旅,975.0,605722.0,621.0,562.0,5.17,600.0,1.78,True,True,True,
2023,1264,食品工業,277.0,230923.0,834.0,684.0,18.24,734.0,3.97,True,True,True,
2023,1268,觀光餐旅,1306.0,819839.0,628.0,525.0,7.61,600.0,1.78,True,True,True,
2023,1301,塑膠工業,6271.0,8551993.0,1364.0,1238.0,1.15,1175.0,0.68,True,True,True,
2023,1303,塑膠工業,11510.0,13673257.0,1188.0,1105.0,0.8,1175.0,0.68,True,True,True,
2023,1304,塑膠工業,437.0,532681.0,1219.0,1110.0,-0.19,1175.0,0.68,True,True,True,公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效等綜合考量後，在法遵前提下並考量外部競爭及內部衡平性，發給年終獎金及進行年度調薪。
2023,1305,塑膠工業,641.0,608571.0,949.0,906.0,0.59,1175.0,0.68,True,True,True,本公司員工酬勞制度在公司章程中已訂定「年度如有獲利應分派員工酬勞不低於當年度獲利百分之一」，所有本公司員工均可分享公司經營成果。
2023,1307,塑膠工業,519.0,440305.0,848.0,808.0,1.91,1175.0,0.68,True,True,True,"本公司主要生產人工皮革,鞋材佔比約90%,因112年大型賽事展開,及上游原料成本的低檔維持,助益EPS較去年同期成長約62%,本公司亦考量通貨膨漲調整員工薪資,非擔任主管職務之員工薪資平均數較去年同期成長約16%。"
2023,1308,塑膠工業,220.0,282238.0,1283.0,1199.0,0.2,1175.0,0.68,True,True,True,公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效等綜合考量後，在法遵前提下並考量外部競爭及內部衡平性，發給年終獎金及進行年度調薪。
2023,1309,塑膠工業,351.0,361909.0,1031.0,968.0,-0.69,1175.0,0.68,True,True,True,
