年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,37151.37,113.04,27538.83,112.88,9612.54,113.49,
2021,36098.43,109.84,26447.18,108.41,9651.25,113.95,
2020,37099.31,112.88,27659.3,113.38,9440.01,111.46,
2019,32865.29,100,24395.53,100,8469.76,100,
2018,32957.16,100.28,24381.62,99.94,8575.54,101.25,
2017,36486.42,111.02,26870.75,110.15,9615.67,113.53,
2016,37617.11,114.46,28637.02,117.39,8980.09,106.03,
2015,46214.43,140.62,35361.79,144.95,10852.64,128.13,
2014,47542.46,144.66,37015.53,151.73,10526.93,124.29,
2023,38580.06,117.39,28586.59,117.18,9993.47,117.99,T
2024,40008.75,121.74,29634.36,121.47,10374.39,122.49,T
2025,41437.44,126.08,30682.12,125.77,10755.32,126.98,T
2026,42866.14,130.43,31729.89,130.06,11136.25,131.48,T
2027,44294.83,134.78,32777.66,134.36,11517.17,135.98,T
2028,45723.52,139.12,33825.42,138.65,11898.1,140.48,T
2029,47152.21,143.47,34873.19,142.95,12279.03,144.97,T
2030,48580.91,147.82,35920.95,147.24,12659.95,149.47,T
2031,50009.6,152.17,36968.72,151.54,13040.88,153.97,T
2032,51438.29,156.51,38016.48,155.83,13421.81,158.47,T
2033,52866.98,160.86,39064.25,160.13,13802.73,162.96,T
2034,54295.67,165.21,40112.01,164.42,14183.66,167.46,T
2035,55724.37,169.55,41159.78,168.72,14564.59,171.96,T
2036,57153.06,173.9,42207.55,173.01,14945.51,176.46,T
2037,58581.75,178.25,43255.31,177.31,15326.44,180.95,T
2038,60010.44,182.6,44303.08,181.6,15707.37,185.45,T
2039,61439.14,186.94,45350.84,185.9,16088.29,189.95,T
2040,62867.83,191.29,46398.61,190.19,16469.22,194.45,T
2041,64296.52,195.64,47446.37,194.49,16850.15,198.94,T
2042,65725.21,199.98,48494.14,198.78,17231.07,203.44,T
2043,67153.91,204.33,49541.91,203.08,17612,207.94,T
2044,68582.6,208.68,50589.67,207.37,17992.93,212.44,T
2045,70011.29,213.03,51637.44,211.67,18373.85,216.93,T
2046,71439.98,217.37,52685.2,215.96,18754.78,221.43,T
2047,72868.68,221.72,53732.97,220.26,19135.71,225.93,T
2048,74297.37,226.07,54780.73,224.55,19516.63,230.43,T
2049,75726.06,230.41,55828.5,228.85,19897.56,234.92,T
2050,77154.75,234.76,56876.26,233.14,20278.49,239.42,T
