分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,7201
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,19888
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,4742
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,27089
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,10407
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,15354
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,636.1752337902619
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,25761
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,9090
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,16840
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,658.7268864472214
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,25930
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,7618
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,17056
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,646.1334123825915
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,24674
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,5003
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,20344
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,4528
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,25347
E,能源使用狀況,總用電量,true,度（KWh）,2021,35214444.472616
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,能源使用狀況,總用電量,true,度（KWh）,2022,37353888.918772005
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,0
E,能源使用狀況,再生能源發電量,true,吉焦耳（GJ）,2022,0
E,能源使用狀況,總用電量,true,度,2018,32230277.78
E,能源使用狀況,再生能源設置量,true,NA,2018,NA
E,能源使用狀況,再生能源發電量,true,NA,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,795935.8915343576
E,能源使用狀況,總用電量,true,度,2019,36438888.89
E,能源使用狀況,再生能源設置量,true,NA,2019,NA
E,能源使用狀況,再生能源發電量,true,NA,2019,NA
E,能源使用狀況,能源密集度,true,度/億元,2019,925695.1725455438
E,能源使用狀況,總用電量,true,度,2020,38376111.11
E,能源使用狀況,再生能源設置量,true,NA,2020,NA
E,能源使用狀況,再生能源發電量,true,NA,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,1004948.0272950385
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,水資源,總取水量,true,,2022,379920
E,水資源,回收水量,true,,2022,16990
E,水資源,耗用水量,true,,2022,167920
E,水資源,排放水量,true,,2022,212000
E,水資源,總取水量,true,,2021,373107
E,水資源,回收水量,true,,2021,7898
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,232269
E,水資源,總取水量,true,噸,2018,368100
E,水資源,回收水量,true,噸,2018,13457
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,223982
E,水資源,總取水量,true,噸,2019,288727
E,水資源,回收水量,true,噸,2019,14546
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,219126
E,水資源,總取水量,true,噸,2020,290471
E,水資源,回收水量,true,噸,2020,5502
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,214281
E,廢棄物管理,一般事業廢棄物,true,,2021,103.61
E,廢棄物管理,有害事業廢棄物,true,,2021,906.92
E,廢棄物管理,資源化再利用,true,,2021,48.37
E,廢棄物管理,一般事業廢棄物,true,,2022,147.66
E,廢棄物管理,有害事業廢棄物,true,,2022,842.34
E,廢棄物管理,資源化再利用,true,,2022,147.66
E,廢棄物管理,一般事業廢棄物,true,噸,2018,787.3
E,廢棄物管理,有害事業廢棄物,true,噸,2018,366.34
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,519.27
E,廢棄物管理,有害事業廢棄物,true,噸,2019,440.57
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,109.2
E,廢棄物管理,有害事業廢棄物,true,噸,2020,603.7
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,15.543
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,23.789
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.463
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.325
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,21.597
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,33.51
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,4.779
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.118
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,13.41
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,20.941
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.2359999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,3.122
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.1229999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,11.393
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,2.247
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.7600000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,12.568000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.497
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,1.795
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,6.374
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,9.246
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,2.523
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.7690000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,5.561
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,7.672
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.197
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.256
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,3.7790000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,5.877
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.946
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,2.394
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,6.881
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,9.955
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.1219999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,2.5149999999999997
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.011000000000000001
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.093
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.007
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.08
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.044000000000000004
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2017,0.011000000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,8.780999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,12.143999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.845
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,3.8449999999999998
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.012
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.111
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.008
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.101
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.053000000000000005
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2018,0.012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,7.102
