分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,27614
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,15527.96
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,43141.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,24777.42
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,14838.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,39615.74
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,18.352
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.2520000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.529
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,16.892
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,6.488
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.960999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,14.957
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,8.577
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.166
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,17.788
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,9.401
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.831
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,8.104000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.879
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,14.696
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,6.166
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.546
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,44.83200000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,6.768000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.6819999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,26.051
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,6.66
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.686
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,36.016999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.4059999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.988
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,35.904
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,4.309
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.166
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,28.405
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,5.848
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2.205
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,28.831
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,4.596
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.9280000000000002
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.008
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,37.549
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,1.7149999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,2.488
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2021,0.013
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.008
