分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,142678.1
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,249985.43
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,207277.75
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,155543.05
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,251669.97999999998
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,193953.66
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,192570.86
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,435002.87
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,179905.76
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,272047.18
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,449059.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,253644.85
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,269029.95999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,646871.8400000001
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,251173.19
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,331108.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,450995.54999999993
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,297900.3
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,286831.89
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,428984.19999999995
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,252027.64
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,236286.53000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,431159.92000000004
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,219101.32
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,236000
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,344600
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,580600
E,能源使用狀況,總用電量,true,度,2020,855037203
E,能源使用狀況,再生能源設置量,true,瓩,2020,270
E,能源使用狀況,再生能源發電量,true,,2020,無揭露
E,水資源,總取水量,true,噸,2020,6560000
E,水資源,回收水量,true,噸,2020,9830000
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,4430000
E,廢棄物管理,一般事業廢棄物,true,噸,2020,4046
E,廢棄物管理,有害事業廢棄物,true,噸,2020,4494
E,廢棄物管理,資源化再利用,true,噸,2020,7906
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.508
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,5.3759999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,7.212000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.8069999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,3.903
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,4.706
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.314
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,2.932
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,11.308
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,7.541999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,5.792
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,18.622000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,1.775
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,1.47
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,9.381
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,7.871
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,5.649
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,16.488999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,13.905
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,5.34
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,23.646
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,13.39
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,7.4830000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,41.107
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,14.893999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,7.013000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,30.717
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,11.868000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,10.035
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.315
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,21.823999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,10.002999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,14.286
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.781
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,26.757
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,6.612
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,5.321000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.4799999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,18.685
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,25.49
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,10.338999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.9830000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,48.915
E,環境違規,違反環境法規金額-misc,,元,2017,0
E,環境違規,違反環境法規次數-misc,,次,2017,0
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,72500
E,環境違規,違反環境法規次數-水,,次,2017,1
S,員工組成,正式員工,true,人,2020,5126
S,員工組成,性別比,true,人,2020,1.032391713747646
S,員工組成,新進率,true,人,2020,0.10338126700349787
S,員工組成,離職率,true,人,2020,0.05188495919160513
S,員工組成,是否聘用移工,true,人,2020,280
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,1353
S,員工薪資,薪資中位數,,仟元,2020,995
S,員工薪資,平均薪資,,仟元,2019,1219
S,員工薪資,薪資中位數,,仟元,2019,917
S,員工薪資,平均薪資,,仟元,2018,1212
S,職業健康,職災事故,true,,2020,5
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,16389822670
G,資本額,資本額,,元,2019,16389822670
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,稅務透明度,營利事業所得稅稅額,true,元,2020,1260000000
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,有
