分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司藉由自行盤查之結果，作為每年節能減碳的基準，進而達成預計每年減碳目標1%，朝顯著且具體的作為努力。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,463.42199999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,559.4339999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,641.196
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,348.034
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,530.258
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,479.12800000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,583.0150000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,512.308
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,438.08500000000004
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,1.69
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,696.332
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,1.831
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,775.3859999999996
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,1.8089999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,142.859
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,0.22599999999999998
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,184.16400000000002
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.25
E,環境違規,違反環境法規金額-misc,,元,2010,200000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,120000
E,環境違規,違反環境法規次數-水,,次,2010,2
E,環境違規,違反環境法規金額-misc,,元,2011,200000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,300000
E,環境違規,違反環境法規次數-misc,,次,2012,3
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,606000
E,環境違規,違反環境法規次數-misc,,次,2013,5
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,300000
E,環境違規,違反環境法規次數-misc,,次,2014,2
E,環境違規,違反環境法規金額-空氣,,元,2014,100000
E,環境違規,違反環境法規次數-空氣,,次,2014,1
E,環境違規,違反環境法規金額-水,,元,2014,150000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,100000
E,環境違規,違反環境法規次數-空氣,,次,2016,1
E,環境違規,違反環境法規金額-水,,元,2016,294000
E,環境違規,違反環境法規次數-水,,次,2016,1
E,環境違規,違反環境法規金額-misc,,元,2017,126000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,821200
E,環境違規,違反環境法規次數-misc,,次,2018,17
