年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,23571.28,105.26,4665.51,98.88,18905.77,106.97,
2020,23162.54,103.44,5071.59,107.48,18090.95,102.36,
2019,22393.06,100,4718.58,100,17674.48,100,
2018,22763.07,101.65,4476.72,94.87,18286.35,103.46,
2017,25625.82,114.44,3969.84,84.13,21655.98,122.53,
2016,23955.18,106.98,3160.15,66.97,20795.03,117.66,
2015,21596.37,96.44,119.92,2.54,21476.45,121.51,
2022,23840.68,106.46,4728.44,100.21,19112.24,108.13,T
2023,24110.09,107.67,4791.37,101.54,19318.72,109.3,T
2024,24379.49,108.87,4854.3,102.88,19525.19,110.47,T
2025,24648.89,110.07,4917.23,104.21,19731.66,111.64,T
2026,24918.3,111.28,4980.16,105.54,19938.14,112.81,T
2027,25187.7,112.48,5043.09,106.88,20144.61,113.98,T
2028,25457.1,113.68,5106.02,108.21,20351.08,115.14,T
2029,25726.51,114.89,5168.95,109.54,20557.56,116.31,T
2030,25995.91,116.09,5231.88,110.88,20764.03,117.48,T
2031,26265.31,117.29,5294.81,112.21,20970.5,118.65,T
2032,26534.72,118.5,5357.74,113.55,21176.98,119.82,T
2033,26804.12,119.7,5420.67,114.88,21383.45,120.98,T
2034,27073.52,120.9,5483.6,116.21,21589.92,122.15,T
2035,27342.93,122.1,5546.53,117.55,21796.4,123.32,T
2036,27612.33,123.31,5609.46,118.88,22002.87,124.49,T
2037,27881.73,124.51,5672.39,120.21,22209.34,125.66,T
2038,28151.14,125.71,5735.32,121.55,22415.82,126.83,T
2039,28420.54,126.92,5798.25,122.88,22622.29,127.99,T
2040,28689.94,128.12,5861.18,124.21,22828.76,129.16,T
2041,28959.35,129.32,5924.11,125.55,23035.24,130.33,T
2042,29228.75,130.53,5987.04,126.88,23241.71,131.5,T
2043,29498.15,131.73,6049.97,128.22,23448.18,132.67,T
2044,29767.56,132.93,6112.9,129.55,23654.66,133.84,T
2045,30036.96,134.14,6175.83,130.88,23861.13,135,T
2046,30306.36,135.34,6238.76,132.22,24067.6,136.17,T
2047,30575.77,136.54,6301.69,133.55,24274.08,137.34,T
2048,30845.17,137.74,6364.62,134.88,24480.55,138.51,T
2049,31114.57,138.95,6427.55,136.22,24687.02,139.68,T
2050,31383.98,140.15,6490.48,137.55,24893.5,140.84,T
