分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
S,員工薪資,平均薪資,,仟元,2020,687
S,員工薪資,薪資中位數,,仟元,2020,620
S,員工薪資,平均薪資,,仟元,2019,673
S,員工薪資,薪資中位數,,仟元,2019,587
S,員工薪資,平均薪資,,仟元,2018,691
G,資本額,資本額,,元,2020,607245830
G,資本額,資本額,,元,2019,607245830
G,營運狀況,營業收入,,仟元,2020,766667
G,營運狀況,營業成本,,仟元,2020,698846
G,營運狀況,營業費用,,仟元,2020,167600
G,營運狀況,淨利,,仟元,2020,-27139
G,營運狀況,營業收入,,仟元,2019,732642
G,營運狀況,營業成本,,仟元,2019,756866
G,營運狀況,營業費用,,仟元,2019,173961
G,營運狀況,淨利,,仟元,2019,-141698
G,營運狀況,營業收入,,仟元,2018,763230
G,營運狀況,營業成本,,仟元,2018,835525
G,營運狀況,營業費用,,仟元,2018,174756
G,營運狀況,淨利,,仟元,2018,-191008
G,營運狀況,營業收入,,仟元,2017,735590
G,營運狀況,營業成本,,仟元,2017,981235
G,營運狀況,營業費用,,仟元,2017,185691
G,營運狀況,淨利,,仟元,2017,-258661
G,營運狀況,營業收入,,仟元,2016,782845
G,營運狀況,營業成本,,仟元,2016,950245
G,營運狀況,營業費用,,仟元,2016,191139
G,營運狀況,淨利,,仟元,2016,-277787
