年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,19586586.66,90.85,18318428.44,90.01,1268158.22,104.95,
2019,21560150.4,100,20351815.49,100,1208334.91,100,
2018,22114805.84,102.57,20805770.66,102.23,1309035.18,108.33,
2017,21321685.31,98.89,20006804.48,98.3,1314880.83,108.82,
2016,22337642.14,103.61,21042990.05,103.4,1294652.09,107.14,
2015,21286483.14,98.73,20018158.35,98.36,1268324.79,104.96,
2014,20565970.65,95.39,19380125.55,95.23,1185845.1,98.14,
2013,20888581.14,96.89,19630616.9,96.46,1257964.24,104.11,
2021,19008220.44,88.16,17755636.43,87.24,1252584.02,103.66,T
2022,18429854.23,85.48,17192844.41,84.48,1237009.81,102.37,T
2023,17851488.01,82.8,16630052.4,81.71,1221435.61,101.08,T
2024,17273121.79,80.12,16067260.39,78.95,1205861.41,99.8,T
2025,16694755.58,77.43,15504468.37,76.18,1190287.2,98.51,T
2026,16116389.36,74.75,14941676.36,73.42,1174713,97.22,T
2027,15538023.14,72.07,14378884.35,70.65,1159138.8,95.93,T
2028,14959656.93,69.39,13816092.33,67.89,1143564.59,94.64,T
2029,14381290.71,66.7,13253300.32,65.12,1127990.39,93.35,T
2030,13802924.49,64.02,12690508.31,62.36,1112416.19,92.06,T
2031,13224558.28,61.34,12127716.29,59.59,1096841.98,90.77,T
2032,12646192.06,58.66,11564924.28,56.83,1081267.78,89.48,T
2033,12067825.84,55.97,11002132.27,54.06,1065693.58,88.2,T
2034,11489459.63,53.29,10439340.25,51.29,1050119.37,86.91,T
2035,10911093.41,50.61,9876548.24,48.53,1034545.17,85.62,T
2036,10332727.19,47.93,9313756.23,45.76,1018970.97,84.33,T
2037,9754360.98,45.24,8750964.21,43,1003396.76,83.04,T
2038,9175994.76,42.56,8188172.2,40.23,987822.56,81.75,T
2039,8597628.54,39.88,7625380.19,37.47,972248.36,80.46,T
2040,8019262.33,37.19,7062588.17,34.7,956674.15,79.17,T
2041,7440896.11,34.51,6499796.16,31.94,941099.95,77.88,T
2042,6862529.89,31.83,5937004.15,29.17,925525.75,76.6,T
2043,6284163.68,29.15,5374212.13,26.41,909951.54,75.31,T
2044,5705797.46,26.46,4811420.12,23.64,894377.34,74.02,T
2045,5127431.24,23.78,4248628.11,20.88,878803.14,72.73,T
2046,4549065.03,21.1,3685836.09,18.11,863228.93,71.44,T
2047,3970698.81,18.42,3123044.08,15.35,847654.73,70.15,T
2048,3392332.59,15.73,2560252.07,12.58,832080.53,68.86,T
2049,2813966.38,13.05,1997460.05,9.81,816506.32,67.57,T
2050,2235600.16,10.37,1434668.04,7.05,800932.12,66.28,T
