年份,Tot數值,Tot變化,是承諾值
2013,20888581.14,96.89,
2014,20565970.65,95.39,
2015,21286483.14,98.73,
2016,22337642.14,103.61,
2017,21321685.31,98.89,
2018,22114805.84,102.57,
2019,21560150.4,100,
2020,19586586.66,90.85,
2021,21437446.2,99.43,T
2022,21216441.6,98.41,T
2023,20995437,97.38,T
2024,20774432.4,96.36,T
2025,20553427.8,95.33,T
2026,19890414,92.26,T
2027,19227400.2,89.18,T
2028,18564386.4,86.11,T
2029,17901372.6,83.03,T
2030,17238358.8,79.95,T
2031,16376440.86,75.96,T
2032,15514522.92,71.96,T
2033,14652604.98,67.96,T
2034,13790687.04,63.96,T
2035,12928769.1,59.97,T
2036,12066851.16,55.97,T
2037,11204933.22,51.97,T
2038,10343015.28,47.97,T
2039,9481097.34,43.98,T
2040,8619179.4,39.98,T
2041,7757261.46,35.98,T
2042,6895343.52,31.98,T
2043,6033425.58,27.98,T
2044,5171507.64,23.99,T
2045,4309589.7,19.99,T
2046,3447671.76,15.99,T
2047,2585753.82,11.99,T
2048,1723835.88,8,T
2049,861917.94,4,T
2050,0,0,T
