分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,79045.18000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,128252.27
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,207297.45
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,66355.85
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,122260.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,188616.17
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,77851.60999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,134495.17
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,212346.78
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,72702.91999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,135580.04
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,208282.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,76031.28
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,134184.96
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,210216.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,69519.85
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,132278.91
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,201798.76
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,66085.71999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,113620.36
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,179706.08
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,75786.73000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,127111
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,202897.73
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,310.99499999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,407.28900000000004
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,168.43800000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,865.8320000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,20.807
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,31.247
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,6.24
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,419.5
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,56.394
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,36.799
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,14.05
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,738.7170000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,84.84700000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,51.99
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,60.43
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,198.918
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,94.09
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,55.613
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,38.531
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,207.70300000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,37.89
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,20.052
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,11.008
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,72.778
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,57.54599999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,6.482
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,11.212
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,110.69800000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,49.812
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,4.602
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,9.371
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,76.474
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,97.93700000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,13.905000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,21.093
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,146.946
