分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2013,9070469.43
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2013,281343.85
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,9759054.55
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,178316.26
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,9577771.46
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,147234.6
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,9236653.709999999
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,211535.4
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,14716.120777994332
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,9604727.14
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,236019.24
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,11593.583791514166
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,9899184.61
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,220646.65
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,10245.680386583661
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,8833209.67
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,204387.32
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,10655.23490228662
E,空氣污染物申報,氮氧化物,,2009,668.6229999999999
E,空氣污染物申報,硫氧化物,,2009,243.89100000000002
E,空氣污染物申報,粒狀污染物,,2009,8.134
E,空氣污染物申報,揮發性有機化合物,,2009,88.30199999999999
E,空氣污染物申報,氮氧化物,,2010,4200.79
E,空氣污染物申報,硫氧化物,,2010,3846.6719999999996
E,空氣污染物申報,粒狀污染物,,2010,1076.55
E,空氣污染物申報,揮發性有機化合物,,2010,482.31800000000004
E,空氣污染物申報,氮氧化物,,2011,2733.747
E,空氣污染物申報,硫氧化物,,2011,1215.072
E,空氣污染物申報,粒狀污染物,,2011,844.329
E,空氣污染物申報,揮發性有機化合物,,2011,412.77600000000007
E,空氣污染物申報,氮氧化物,,2012,1327.274
E,空氣污染物申報,硫氧化物,,2012,899.027
E,空氣污染物申報,粒狀污染物,,2012,414.76099999999997
E,空氣污染物申報,揮發性有機化合物,,2012,260.779
E,空氣污染物申報,氮氧化物,,2013,3677.745
E,空氣污染物申報,硫氧化物,,2013,3457.7249999999995
E,空氣污染物申報,粒狀污染物,,2013,1158.9489999999998
E,空氣污染物申報,揮發性有機化合物,,2013,615.462
E,空氣污染物申報,氮氧化物,,2014,2404.468
E,空氣污染物申報,硫氧化物,,2014,2295.4939999999997
E,空氣污染物申報,粒狀污染物,,2014,768.996
E,空氣污染物申報,揮發性有機化合物,,2014,290.312
E,空氣污染物申報,氮氧化物,,2015,2251.103
E,空氣污染物申報,硫氧化物,,2015,2230.103
E,空氣污染物申報,粒狀污染物,,2015,678.761
E,空氣污染物申報,揮發性有機化合物,,2015,260.839
E,空氣污染物申報,氮氧化物,,2016,3512.2829999999994
E,空氣污染物申報,硫氧化物,,2016,3298.192
E,空氣污染物申報,粒狀污染物,,2016,1032.69
E,空氣污染物申報,揮發性有機化合物,,2016,397.70000000000005
E,空氣污染物申報,苯,,2017,7.073
E,空氣污染物申報,四氯化碳,,2017,0.496
E,空氣污染物申報,1-1-二氯乙烷,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,2017,0
E,空氣污染物申報,戴奧辛,,2017,0
E,空氣污染物申報,乙苯,,2017,0.496
E,空氣污染物申報,二氯甲烷,,2017,0.747
E,空氣污染物申報,氮氧化物,,2017,1201.612
E,空氣污染物申報,硫氧化物,,2017,925.547
E,空氣污染物申報,苯乙烯,,2017,0
E,空氣污染物申報,粒狀污染物,,2017,371.776
E,空氣污染物申報,四氯乙烯,,2017,0.148
E,空氣污染物申報,甲苯,,2017,1.158
E,空氣污染物申報,三氯乙烷,,2017,0
E,空氣污染物申報,三氯乙烯,,2017,0.279
E,空氣污染物申報,揮發性有機化合物,,2017,135.75
E,空氣污染物申報,二甲苯,,2017,0.77
E,空氣污染物申報,三氯甲烷,,2017,0.245
E,空氣污染物申報,重金屬,,2017,0
E,空氣污染物申報,苯,,2018,14.786000000000001
E,空氣污染物申報,四氯化碳,,2018,1.037
E,空氣污染物申報,1-1-二氯乙烷,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,2018,0
E,空氣污染物申報,戴奧辛,,2018,0.003
E,空氣污染物申報,乙苯,,2018,1.037
E,空氣污染物申報,二氯甲烷,,2018,1.5630000000000002
E,空氣污染物申報,氮氧化物,,2018,2676.501
E,空氣污染物申報,硫氧化物,,2018,1999.174
E,空氣污染物申報,苯乙烯,,2018,0
E,空氣污染物申報,粒狀污染物,,2018,727.7149999999999
E,空氣污染物申報,四氯乙烯,,2018,0.311
E,空氣污染物申報,甲苯,,2018,2.42
E,空氣污染物申報,三氯乙烷,,2018,0
E,空氣污染物申報,三氯乙烯,,2018,0.584
E,空氣污染物申報,揮發性有機化合物,,2018,290.53700000000003
E,空氣污染物申報,二甲苯,,2018,1.61
E,空氣污染物申報,三氯甲烷,,2018,0.512
E,空氣污染物申報,重金屬,,2018,0.515
E,空氣污染物申報,苯,,2019,17.532999999999998
E,空氣污染物申報,四氯化碳,,2019,1.2309999999999999
E,空氣污染物申報,1-1-二氯乙烷,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,2019,0
E,空氣污染物申報,戴奧辛,,2019,0.002
E,空氣污染物申報,乙苯,,2019,1.2309999999999999
E,空氣污染物申報,二氯甲烷,,2019,1.852
E,空氣污染物申報,氮氧化物,,2019,3176.955
E,空氣污染物申報,硫氧化物,,2019,2432.183
E,空氣污染物申報,苯乙烯,,2019,0
E,空氣污染物申報,粒狀污染物,,2019,810.03
E,空氣污染物申報,四氯乙烯,,2019,0.367
E,空氣污染物申報,甲苯,,2019,2.87
E,空氣污染物申報,三氯乙烷,,2019,0
E,空氣污染物申報,三氯乙烯,,2019,0.6930000000000001
E,空氣污染物申報,揮發性有機化合物,,2019,332.35600000000005
E,空氣污染物申報,二甲苯,,2019,1.9089999999999998
E,空氣污染物申報,三氯甲烷,,2019,0.607
E,空氣污染物申報,重金屬,,2019,0.722
E,空氣污染物申報,苯,,2020,6.586
E,空氣污染物申報,四氯化碳,,2020,0.462
E,空氣污染物申報,1-1-二氯乙烷,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,2020,0
E,空氣污染物申報,戴奧辛,,2020,0.002
E,空氣污染物申報,乙苯,,2020,0.462
E,空氣污染物申報,二氯甲烷,,2020,0.696
E,空氣污染物申報,氮氧化物,,2020,1142.162
E,空氣污染物申報,硫氧化物,,2020,1139.168
E,空氣污染物申報,苯乙烯,,2020,0
E,空氣污染物申報,粒狀污染物,,2020,341.75
E,空氣污染物申報,四氯乙烯,,2020,0.138
E,空氣污染物申報,甲苯,,2020,1.078
E,空氣污染物申報,三氯乙烷,,2020,0
E,空氣污染物申報,三氯乙烯,,2020,0.26
E,空氣污染物申報,揮發性有機化合物,,2020,134.108
E,空氣污染物申報,二甲苯,,2020,0.718
E,空氣污染物申報,三氯甲烷,,2020,0.228
E,空氣污染物申報,重金屬,,2020,0.218
E,環境違規,違反環境法規金額,元,2010,6000
E,環境違規,違反環境法規次數,次,2010,1
E,環境違規,違反環境法規金額,元,2011,300000
E,環境違規,違反環境法規次數,次,2011,3
E,環境違規,違反環境法規金額,元,2012,700000
E,環境違規,違反環境法規次數,次,2012,6
E,環境違規,違反環境法規金額,元,2013,740000
E,環境違規,違反環境法規次數,次,2013,5
E,環境違規,違反環境法規金額,元,2014,206000
E,環境違規,違反環境法規次數,次,2014,3
E,環境違規,違反環境法規金額,元,2015,400000
E,環境違規,違反環境法規次數,次,2015,2
E,環境違規,違反環境法規金額,元,2018,276000
E,環境違規,違反環境法規次數,次,2018,5
E,環境違規,違反環境法規金額,元,2019,306000
E,環境違規,違反環境法規次數,次,2019,4
E,環境違規,違反環境法規金額,元,2020,300000
E,環境違規,違反環境法規次數,次,2020,1
E,環境違規,違反環境法規金額,元,2021,763000
E,環境違規,違反環境法規次數,次,2021,3
G,,資本額,元,2020,86125861000
G,,資本額,元,2019,86125861000
G,營運狀況,營業收入,仟元,2020,76824329
G,營運狀況,營業成本,仟元,2020,77021113
G,營運狀況,營業費用,仟元,2020,2012317
G,營運狀況,淨利,仟元,2020,-2192627
G,營運狀況,營業收入,仟元,2019,84818374
G,營運狀況,營業成本,仟元,2019,83930109
G,營運狀況,營業費用,仟元,2019,2143572
G,營運狀況,淨利,仟元,2019,-1453883
G,營運狀況,營業收入,仟元,2018,98771686
G,營運狀況,營業成本,仟元,2018,89128468
G,營運狀況,營業費用,仟元,2018,2430078
G,營運狀況,淨利,仟元,2018,5905681
G,營運狀況,營業收入,仟元,2017,84880970
G,營運狀況,營業成本,仟元,2017,79691012
G,營運狀況,營業費用,仟元,2017,1747856
G,營運狀況,淨利,仟元,2017,2640708
G,營運狀況,營業收入,仟元,2016,64202987
G,營運狀況,營業成本,仟元,2016,59016988
G,營運狀況,營業費用,仟元,2016,1935575
G,營運狀況,淨利,仟元,2016,2340895
