分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,目前規劃中，1.透過行政管理，使空調設備運轉更有效率，減少用水及用電量。 2.能源效率管控，適時關閉無人區域照明設備，午休時間辦公區關燈節能。 3.建立電子化系統，減少紙張用量。
E,環境違規,違反環境法規金額-misc,,元,2017,18000
E,環境違規,違反環境法規次數-misc,,次,2017,3
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2021,6000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,821
S,員工薪資,薪資中位數,,仟元,2020,689
S,員工薪資,平均薪資,,仟元,2019,824
S,員工薪資,薪資中位數,,仟元,2019,702
S,員工薪資,平均薪資,,仟元,2018,909
G,資本額,資本額,,元,2020,2255409290
G,資本額,資本額,,元,2019,2255409290
G,營運狀況,營業收入,,仟元,2020,13916562
G,營運狀況,營業成本,,仟元,2020,13111029
G,營運狀況,營業費用,,仟元,2020,935186
G,營運狀況,淨利,,仟元,2020,209927
G,營運狀況,營業收入,,仟元,2019,16591857
G,營運狀況,營業成本,,仟元,2019,15499450
G,營運狀況,營業費用,,仟元,2019,752537
G,營運狀況,淨利,,仟元,2019,681997
G,營運狀況,營業收入,,仟元,2018,22235076
G,營運狀況,營業成本,,仟元,2018,20393944
G,營運狀況,營業費用,,仟元,2018,753352
G,營運狀況,淨利,,仟元,2018,832000
G,營運狀況,營業收入,,仟元,2017,21186782
G,營運狀況,營業成本,,仟元,2017,19440766
G,營運狀況,營業費用,,仟元,2017,890276
G,營運狀況,淨利,,仟元,2017,812530
G,營運狀況,營業收入,,仟元,2016,23473383
G,營運狀況,營業成本,,仟元,2016,21447836
G,營運狀況,營業費用,,仟元,2016,812272
G,營運狀況,淨利,,仟元,2016,844983
