分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,展開盤點後，依造現況及相關政策制定目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,47.848
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,51.967
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,25.976
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,38.338
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,31.772
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,69.078
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,21.935000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,68.39699999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,9.381
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,70.84800000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,13.364
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,58.388
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,17.558999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,64.765
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,12.773
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,38.08500000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,5.3469999999999995
E,環境違規,違反環境法規金額-misc,,元,2011,60000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,60000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,203000
E,環境違規,違反環境法規次數-水,,次,2012,2
E,環境違規,違反環境法規金額-misc,,元,2013,0
E,環境違規,違反環境法規次數-misc,,次,2013,0
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,110000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2020,120000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,490
S,員工薪資,薪資中位數,,仟元,2020,448
S,員工薪資,平均薪資,,仟元,2019,473
S,員工薪資,薪資中位數,,仟元,2019,425
S,員工薪資,平均薪資,,仟元,2018,453
G,資本額,資本額,,元,2020,1741469310
G,資本額,資本額,,元,2019,1741469310
G,營運狀況,營業收入,,仟元,2020,2979162
G,營運狀況,營業成本,,仟元,2020,2857760
G,營運狀況,營業費用,,仟元,2020,364044
G,營運狀況,淨利,,仟元,2020,-216792
G,營運狀況,營業收入,,仟元,2019,3391609
G,營運狀況,營業成本,,仟元,2019,3194166
G,營運狀況,營業費用,,仟元,2019,404756
G,營運狀況,淨利,,仟元,2019,-110169
G,營運狀況,營業收入,,仟元,2018,3518289
G,營運狀況,營業成本,,仟元,2018,3341628
G,營運狀況,營業費用,,仟元,2018,401566
G,營運狀況,淨利,,仟元,2018,-22782
G,營運狀況,營業收入,,仟元,2017,3655354
G,營運狀況,營業成本,,仟元,2017,3442936
G,營運狀況,營業費用,,仟元,2017,439774
G,營運狀況,淨利,,仟元,2017,-141098
G,營運狀況,營業收入,,仟元,2016,4003731
G,營運狀況,營業成本,,仟元,2016,3621503
G,營運狀況,營業費用,,仟元,2016,498291
G,營運狀況,淨利,,仟元,2016,-42002
