分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.825
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.282
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.1940000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.62
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.206
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,2.219
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,3.496
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,4.165
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,3.417
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,2.561
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.4889999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.394
S,員工薪資,平均薪資,,仟元,2020,826
S,員工薪資,薪資中位數,,仟元,2020,719
S,員工薪資,平均薪資,,仟元,2019,712
S,員工薪資,薪資中位數,,仟元,2019,643
S,員工薪資,平均薪資,,仟元,2018,855
G,資本額,資本額,,元,2020,1487636690
G,資本額,資本額,,元,2019,1487636690
