年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,290104.38,90.71,202227.88,111.01,87876.5,63.85,
2021,272288.56,85.14,173800,95.4,98488.56,71.56,
2020,275142.05,86.04,163753.61,89.89,111388.44,80.94,
2019,319799.72,100,182176.94,100,137622.78,100,
2018,373607.32,116.83,227088.76,124.65,146518.56,106.46,
2017,336415.51,105.2,195384.3,107.25,141031.21,102.48,
2016,308203.85,96.37,167041.34,91.69,141162.51,102.57,
2015,384496.44,120.23,217265.4,119.26,167231.04,121.51,
2014,499025.44,156.04,290118.48,159.25,208906.96,151.8,
2023,280205.93,87.62,208911.53,114.68,71294.4,51.8,T
2024,270307.48,84.52,215595.17,118.34,54712.31,39.76,T
2025,260409.03,81.43,222278.82,122.01,38130.22,27.71,T
2026,250510.59,78.33,228962.46,125.68,21548.12,15.66,T
2027,240612.14,75.24,235646.11,129.35,4966.03,3.61,T
2028,230713.69,72.14,242329.76,133.02,0,0,T
2029,220815.24,69.05,249013.4,136.69,0,0,T
2030,210916.8,65.95,255697.05,140.36,0,0,T
2031,201018.35,62.86,262380.7,144.03,0,0,T
2032,191119.9,59.76,269064.34,147.69,0,0,T
2033,181221.45,56.67,275747.99,151.36,0,0,T
2034,171323.01,53.57,282431.63,155.03,0,0,T
2035,161424.56,50.48,289115.28,158.7,0,0,T
2036,151526.11,47.38,295798.93,162.37,0,0,T
2037,141627.66,44.29,302482.57,166.04,0,0,T
2038,131729.21,41.19,309166.22,169.71,0,0,T
2039,121830.77,38.1,315849.87,173.38,0,0,T
2040,111932.32,35,322533.51,177.04,0,0,T
2041,102033.87,31.91,329217.16,180.71,0,0,T
2042,92135.42,28.81,335900.8,184.38,0,0,T
2043,82236.98,25.72,342584.45,188.05,0,0,T
2044,72338.53,22.62,349268.1,191.72,0,0,T
2045,62440.08,19.52,355951.74,195.39,0,0,T
2046,52541.63,16.43,362635.39,199.06,0,0,T
2047,42643.19,13.33,369319.04,202.73,0,0,T
2048,32744.74,10.24,376002.68,206.39,0,0,T
2049,22846.29,7.14,382686.33,210.06,0,0,T
2050,12947.84,4.05,389369.98,213.73,0,0,T
