分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,4.913
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,4.675
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.089
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.155
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,5.505
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,6.4559999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.68
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.241
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,7.789
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,9.312
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.95
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.29500000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.896
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.816
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,0.708
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.162
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,6.865
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,9.086
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.395
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,7.863
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.901
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,6.763
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,1.06
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,7.98
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,3.856
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,4.859
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.753
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,12.757
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,11.711
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,9.022
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.472
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,14.723
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.528
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,19.055
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,8.698
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.037
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,41.96000000000001
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.035
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.737
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,14.934000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,5.8839999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.56
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,37.768
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.002
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.041
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.538
E,空氣污染物申報-有害空氣污染物,三氯乙烯,,,2019,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,11.363999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,6.08
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,34.089000000000006
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.041999999999999996
