分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,尚未進行。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,12.41
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,17.906000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,20.872999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,24.773
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,26.499000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,24.723000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,16.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,16.45
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.552
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,15.483
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2017,0.011000000000000001
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,1.827
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,16.316000000000003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.007
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.616
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.018000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,16.990000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.62
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.018000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,21.738999999999994
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.007
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2020,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.741
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.022000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,22.014
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.020999999999999998
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2021,0.005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,0.873
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.027
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,25.912000000000003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2022,0.024999999999999998
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2022,0.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,0.46299999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,13.8
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2023,0.012
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2023,0.005
E,環境違規,違反環境法規金額-misc,,元,2012,6000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2015,70000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,12000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,126000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,1001
S,員工薪資,薪資中位數,,仟元,2020,755
S,員工薪資,平均薪資,,仟元,2019,913
S,員工薪資,薪資中位數,,仟元,2019,721
S,員工薪資,平均薪資,,仟元,2018,1001
G,資本額,資本額,,元,2020,3131342040
G,資本額,資本額,,元,2019,3131342040
