分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,30530.36
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,96382.23
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,2570.83
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,126912.59
E,能源使用狀況,總用電量,true,度（KWh）,2021,96923811.75390431
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,以2017年為基線，2025年強度目標減少20%
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,水資源,總取水量,true,,2021,2537008
E,水資源,回收水量,true,,2021,188482
E,水資源,耗用水量,true,,2021,NA
E,水資源,排放水量,true,,2021,908545
E,廢棄物管理,一般事業廢棄物,true,,2021,10391.693000000001
E,廢棄物管理,有害事業廢棄物,true,,2021,0
E,廢棄物管理,資源化再利用,true,,2021,6442.193
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,9.213
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,8.946000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,3.483
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,2.3280000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,7.653999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,6.613
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,5.269
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,8.253
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,12.292
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,14.840999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,4.851
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,40.089
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,53.00599999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,7.42
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,9.209999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,31.274
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,57.312
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,14.241000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,10.366
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,24.564999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,27.768
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,7.897999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,10.3
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,23.832
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,19.253
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,4.3580000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,9.562000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,19.496000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,11.434999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,1.87
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.712
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,22.946
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,18.584
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.474
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,13.687000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,25.148
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,14.139
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.7429999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,17.572000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,15.081000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,4.8759999999999994
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,1.1260000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,11.345
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,6.597
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.20500000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,10.648
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,7.242
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.227
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,14.937000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,6.2940000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.19599999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,16.834
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,2.917
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.09
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,5.279
E,環境違規,違反環境法規金額-misc,,元,2012,0
E,環境違規,違反環境法規次數-misc,,次,2012,0
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,220000
E,環境違規,違反環境法規次數-水,,次,2012,1
E,環境違規,違反環境法規金額-misc,,元,2013,102000
E,環境違規,違反環境法規次數-misc,,次,2013,5
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,420000
E,環境違規,違反環境法規次數-水,,次,2013,1
E,環境違規,違反環境法規金額-misc,,元,2014,42000
E,環境違規,違反環境法規次數-misc,,次,2014,5
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2016,90000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,201200
E,環境違規,違反環境法規次數-misc,,次,2019,3
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,120000
E,環境違規,違反環境法規次數-水,,次,2019,1
S,員工組成,正式員工,true,人,2021,1747
S,員工組成,性別比,true,人,2021,0.6311858076563959
S,員工組成,是否聘用移工,true,人,2021,405
S,員工組成,是否聘用身障人士,true,人,2021,無揭露
S,員工組成,是否聘用原住民,true,人,2021,13
