分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,1276
S,員工薪資,薪資中位數,,仟元,2020,1057
S,員工薪資,平均薪資,,仟元,2019,1090
S,員工薪資,薪資中位數,,仟元,2019,894
S,員工薪資,平均薪資,,仟元,2018,1076
G,資本額,資本額,,元,2020,121374359140
G,資本額,資本額,,元,2019,121374359140
G,營運狀況,營業費用,,仟元,2020,42782105
G,營運狀況,淨利,,仟元,2020,25977044
G,營運狀況,營業費用,,仟元,2019,38270636
G,營運狀況,淨利,,仟元,2019,22141583
G,營運狀況,營業費用,,仟元,2018,39611658
G,營運狀況,淨利,,仟元,2018,20498238
G,營運狀況,營業費用,,仟元,2017,38726825
G,營運狀況,淨利,,仟元,2017,17504055
G,營運狀況,營業費用,,仟元,2016,35287116
G,營運狀況,淨利,,仟元,2016,14300223
