年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,16009.29,93.25,115.42,214.69,15893.87,92.87,
2019,17167.89,100,53.76,100,17114.13,100,
2018,19630.84,114.35,55.2,102.68,19575.64,114.38,
2017,21331.67,124.25,77.97,145.03,21253.7,124.19,
2016,32304.2,188.17,3775.25,7022.41,28528.95,166.7,
2015,37577.03,218.88,6423.62,11948.7,31153.41,182.03,
2014,37459.43,218.19,5380.57,10008.5,32078.86,187.44,
2013,38247.96,222.79,6965.77,12957.16,31282.19,182.79,
2021,14235.16,82.92,127.9,237.92,14107.26,82.43,T
2022,12461.04,72.58,140.39,261.14,12320.65,71.99,T
2023,10686.91,62.25,152.87,284.36,10534.04,61.55,T
2024,8912.78,51.92,165.35,307.58,8747.43,51.11,T
2025,7138.66,41.58,177.84,330.8,6960.82,40.67,T
2026,5364.53,31.25,190.32,354.02,5174.21,30.23,T
2027,3590.4,20.91,202.8,377.24,3387.6,19.79,T
2028,1816.28,10.58,215.29,400.46,1600.99,9.35,T
2029,42.15,0.25,227.77,423.68,0,0,T
2030,0,0,240.25,446.9,0,0,T
2031,0,0,252.74,470.12,0,0,T
2032,0,0,265.22,493.34,0,0,T
2033,0,0,277.7,516.56,0,0,T
2034,0,0,290.19,539.78,0,0,T
2035,0,0,302.67,563,0,0,T
2036,0,0,315.15,586.22,0,0,T
2037,0,0,327.64,609.44,0,0,T
2038,0,0,340.12,632.66,0,0,T
2039,0,0,352.6,655.88,0,0,T
2040,0,0,365.09,679.1,0,0,T
2041,0,0,377.57,702.33,0,0,T
2042,0,0,390.05,725.55,0,0,T
2043,0,0,402.54,748.77,0,0,T
2044,0,0,415.02,771.99,0,0,T
2045,0,0,427.5,795.21,0,0,T
2046,0,0,439.99,818.43,0,0,T
2047,0,0,452.47,841.65,0,0,T
2048,0,0,464.95,864.87,0,0,T
2049,0,0,477.44,888.09,0,0,T
2050,0,0,489.92,911.31,0,0,T
