分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,6965.77
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,31282.19
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,38247.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,5380.57
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,32078.86
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,37459.43
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,6423.619999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,31153.41
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,37577.03
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,3775.25
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,28528.95
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,32304.2
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,77.96999999999753
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,21253.7
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,21331.67
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,55.20000000000073
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,19575.64
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,19630.84
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,53.7599999999984
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,17114.13
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,17167.89
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,115.42000000000007
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,15893.87
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,16009.29
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,195.03000000000065
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,14718.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,14913.6
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,314.1577999999972
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,17259.5852
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,17573.743
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.05
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.028
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,4.115
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.091
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.049
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.505
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.126
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.067
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.422
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.13
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.09800000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,1.2930000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.094
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,3.072
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.162
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.32200000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.197
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.183
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.033
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.018
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.127
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.081
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,5.764
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.6200000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.878
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,7.2
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.057999999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,3.9270000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.096
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.16999999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,8.686
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.069
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,3.47
