分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,152753
G,收入、成本與淨利,營業成本,仟元,2020,152901
G,收入、成本與淨利,營業費用,仟元,2020,64206
G,收入、成本與淨利,淨利,仟元,2020,-62874
G,收入、成本與淨利,營業收入,仟元,2019,425251
G,收入、成本與淨利,營業成本,仟元,2019,413289
G,收入、成本與淨利,營業費用,仟元,2019,55558
G,收入、成本與淨利,淨利,仟元,2019,-27547
G,收入、成本與淨利,營業收入,仟元,2017,106562
G,收入、成本與淨利,營業成本,仟元,2017,215163
G,收入、成本與淨利,營業費用,仟元,2017,39191
G,收入、成本與淨利,淨利,仟元,2017,-158815
G,收入、成本與淨利,營業收入,仟元,2016,210702
G,收入、成本與淨利,營業成本,仟元,2016,460530
G,收入、成本與淨利,營業費用,仟元,2016,61987
G,收入、成本與淨利,淨利,仟元,2016,-271369
