分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,期望下年度能達成較上一年溫室氣體排放量減少3%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,3.1319999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,3.1979999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.1770000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.144
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.523
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.9950000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.7390000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,2.993
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,2.035
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,1.721
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.7489999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,2.5840000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,2.338
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,0.881
E,環境違規,違反環境法規金額-misc,,元,2010,10000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,60000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,229500
E,環境違規,違反環境法規次數-misc,,次,2016,4
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2019,10000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,15000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
E,環境違規,違反環境法規金額-misc,,元,2022,15000
E,環境違規,違反環境法規次數-misc,,次,2022,1
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
S,員工薪資,平均薪資,,仟元,2020,535
S,員工薪資,薪資中位數,,仟元,2020,469
S,員工薪資,平均薪資,,仟元,2019,495
S,員工薪資,薪資中位數,,仟元,2019,434
S,員工薪資,平均薪資,,仟元,2018,429
G,資本額,資本額,,元,2020,1751000000
G,資本額,資本額,,元,2019,1751000000
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
