分類,子分類,項目,單位,年份,數值
G,收入、成本與淨利,營業收入,仟元,2020,5389194
G,收入、成本與淨利,營業成本,仟元,2020,4219740
G,收入、成本與淨利,營業費用,仟元,2020,614417
G,收入、成本與淨利,淨利,仟元,2020,416040
G,收入、成本與淨利,營業收入,仟元,2019,7358438
G,收入、成本與淨利,營業成本,仟元,2019,6082217
G,收入、成本與淨利,營業費用,仟元,2019,724263
G,收入、成本與淨利,淨利,仟元,2019,388128
G,收入、成本與淨利,營業收入,仟元,2018,5769670
G,收入、成本與淨利,營業成本,仟元,2018,4885762
G,收入、成本與淨利,營業費用,仟元,2018,548972
G,收入、成本與淨利,淨利,仟元,2018,263274
G,收入、成本與淨利,營業收入,仟元,2017,4405897
G,收入、成本與淨利,營業成本,仟元,2017,3594324
G,收入、成本與淨利,營業費用,仟元,2017,489988
G,收入、成本與淨利,淨利,仟元,2017,259225
