年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,88750.77,97.06,62354.2,97.77,26396.57,95.43,
2021,88929.78,97.26,61346.46,96.19,27583.32,99.72,
2020,92107.83,100.73,64242.36,100.73,27865.47,100.74,
2019,91439.41,100,63779.13,100,27660.28,100,
2018,87340.66,95.52,59125.66,92.7,28215,102.01,
2017,73696.78,80.6,49266.71,77.25,24430.07,88.32,
2016,79316.8,86.74,52807.13,82.8,26509.67,95.84,
2015,97745.51,106.9,66462.14,104.21,31283.37,113.1,
2014,94169.48,102.99,63926.47,100.23,30243.01,109.34,
2023,87854.55,96.08,61879.22,97.02,25975.33,93.91,T
2024,86958.34,95.1,61404.24,96.28,25554.09,92.39,T
2025,86062.12,94.12,60929.27,95.53,25132.86,90.86,T
2026,85165.91,93.14,60454.29,94.79,24711.62,89.34,T
2027,84269.69,92.16,59979.31,94.04,24290.38,87.82,T
2028,83373.48,91.18,59504.33,93.3,23869.14,86.29,T
2029,82477.26,90.2,59029.36,92.55,23447.91,84.77,T
2030,81581.05,89.22,58554.38,91.81,23026.67,83.25,T
2031,80684.83,88.24,58079.4,91.06,22605.43,81.73,T
2032,79788.62,87.26,57604.42,90.32,22184.19,80.2,T
2033,78892.4,86.28,57129.45,89.57,21762.96,78.68,T
2034,77996.19,85.3,56654.47,88.83,21341.72,77.16,T
2035,77099.98,84.32,56179.49,88.08,20920.48,75.63,T
2036,76203.76,83.34,55704.52,87.34,20499.25,74.11,T
2037,75307.55,82.36,55229.54,86.6,20078.01,72.59,T
2038,74411.33,81.38,54754.56,85.85,19656.77,71.06,T
2039,73515.12,80.4,54279.58,85.11,19235.53,69.54,T
2040,72618.9,79.42,53804.61,84.36,18814.3,68.02,T
2041,71722.69,78.44,53329.63,83.62,18393.06,66.5,T
2042,70826.47,77.46,52854.65,82.87,17971.82,64.97,T
2043,69930.26,76.48,52379.67,82.13,17550.58,63.45,T
2044,69034.04,75.5,51904.7,81.38,17129.35,61.93,T
2045,68137.83,74.52,51429.72,80.64,16708.11,60.4,T
2046,67241.61,73.54,50954.74,79.89,16286.87,58.88,T
2047,66345.4,72.56,50479.76,79.15,15865.63,57.36,T
2048,65449.18,71.58,50004.79,78.4,15444.4,55.84,T
2049,64552.97,70.6,49529.81,77.66,15023.16,54.31,T
2050,63656.76,69.62,49054.83,76.91,14601.92,52.79,T
