分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,711
S,員工薪資,薪資中位數,,仟元,2020,698
S,員工薪資,平均薪資,,仟元,2019,687
S,員工薪資,薪資中位數,,仟元,2019,678
S,員工薪資,平均薪資,,仟元,2018,693
G,資本額,資本額,,元,2020,1358441680
G,資本額,資本額,,元,2019,1358441680
G,營運狀況,營業收入,,仟元,2020,4466552
G,營運狀況,營業成本,,仟元,2020,3310374
G,營運狀況,營業費用,,仟元,2020,603781
G,營運狀況,淨利,,仟元,2020,581393
G,營運狀況,營業收入,,仟元,2019,4547218
G,營運狀況,營業成本,,仟元,2019,3405810
G,營運狀況,營業費用,,仟元,2019,701131
G,營運狀況,淨利,,仟元,2019,574011
G,營運狀況,營業收入,,仟元,2018,2972450
G,營運狀況,營業成本,,仟元,2018,2403834
G,營運狀況,營業費用,,仟元,2018,799873
G,營運狀況,淨利,,仟元,2018,2856013
G,營運狀況,營業收入,,仟元,2017,2925473
G,營運狀況,營業成本,,仟元,2017,2383409
G,營運狀況,營業費用,,仟元,2017,374723
G,營運狀況,淨利,,仟元,2017,368021
G,營運狀況,營業收入,,仟元,2016,2560659
G,營運狀況,營業成本,,仟元,2016,2164683
G,營運狀況,營業費用,,仟元,2016,372757
G,營運狀況,淨利,,仟元,2016,-145150
