分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,71338.59000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,42361.28999999999
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,113699.88
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,47724.96000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,19872.51
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,67597.47
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,47541.7
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,21361.77
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,68903.47
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,43449
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,19415.65
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,62864.65
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,40617.12
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,16798.93
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,57416.05
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,25835.710000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,11632.34
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,37468.05
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,137.044
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,183.72600000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,27.955999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,11.322
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,98.60999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,127.244
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,31.347
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,31.839
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,213.30700000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,286.219
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,40.67099999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,116.76100000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,177.76500000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,236.615
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,29.153
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,187.52300000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,188.989
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,246.67399999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,26.91
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,616.3049999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,86.854
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,115.54999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,32.449
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,689.007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,76.39200000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,103.592
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,13.792
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,186.949
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,27.637
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,9.459999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,57.266999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,84.371
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,10.158999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,288.29200000000003
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.012
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,41.34
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,6.536
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2018,0.002
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,99.18199999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,163.355
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,11.613999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,931.188
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2019,0.06299999999999999
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,120.47900000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,14.793999999999999
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.005
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,41.367999999999995
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,26.323999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,3.478
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,281.35900000000004
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.008
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,62.50600000000001
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,2.9239999999999995
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,9.198
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,1.989
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.662
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,27.474
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.008
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,6.434999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.516
E,環境違規,違反環境法規金額-misc,,元,2015,0
E,環境違規,違反環境法規次數-misc,,次,2015,0
E,環境違規,違反環境法規金額-空氣,,元,2015,600000
E,環境違規,違反環境法規次數-空氣,,次,2015,3
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,200000
E,環境違規,違反環境法規次數-misc,,次,2017,1
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,100000
E,環境違規,違反環境法規次數-misc,,次,2018,1
E,環境違規,違反環境法規金額-空氣,,元,2018,300000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,81000
E,環境違規,違反環境法規次數-水,,次,2018,1
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
